name,n,m,pre_removed_nodes,k_start,k_optimal,k_solved,verified,millis
synth-n_1000-m_124702-k_200-p_0.2.txt,1000,124702,0,0,-1,0,false,93847
synth-n_1000-m_27142-k_50-p_0.05.txt,1000,27142,13,0,50,50,true,2595
synth-n_1000-m_28175-k_70-p_0.05.txt,1000,28175,11,0,70,70,true,2815
synth-n_1000-m_29037-k_100-p_0.05.txt,1000,29037,5,0,100,100,true,9553
synth-n_1000-m_30042-k_120-p_0.05.txt,1000,30042,0,0,120,120,true,7094
synth-n_1000-m_30795-k_150-p_0.05.txt,1000,30795,0,0,150,150,true,8347
synth-n_1000-m_32410-k_200-p_0.05.txt,1000,32410,0,0,-1,200,true,17879
synth-n_1000-m_54531-k_50-p_0.1.txt,1000,54531,3,0,50,50,true,4506
synth-n_1000-m_55974-k_70-p_0.1.txt,1000,55974,0,0,70,70,true,5948
synth-n_1000-m_57929-k_100-p_0.1.txt,1000,57929,0,0,-1,100,true,7021
synth-n_1000-m_59867-k_120-p_0.1.txt,1000,59867,0,0,-1,0,false,90403
synth-n_1000-m_60934-k_150-p_0.1.txt,1000,60934,0,0,-1,150,true,27330
synth-n_1000-m_64710-k_200-p_0.1.txt,1000,64710,0,0,-1,200,true,70568
synth-n_1300-m_104213-k_200-p_0.1.txt,1300,104213,0,0,-1,0,false,90743
synth-n_1300-m_178841-k_50-p_0.2.txt,1300,178841,0,0,-1,50,true,8285
synth-n_1300-m_183367-k_70-p_0.2.txt,1300,183367,0,0,-1,70,true,46559
synth-n_1300-m_188195-k_100-p_0.2.txt,1300,188195,0,0,-1,0,false,93837
synth-n_1300-m_191963-k_120-p_0.2.txt,1300,191963,0,0,-1,0,false,100147
synth-n_1300-m_196174-k_150-p_0.2.txt,1300,196174,0,0,-1,0,false,103606
synth-n_1300-m_204142-k_200-p_0.2.txt,1300,204142,0,0,-1,0,false,104296
synth-n_1300-m_45241-k_50-p_0.05.txt,1300,45241,9,0,50,50,true,1595
synth-n_1300-m_46137-k_70-p_0.05.txt,1300,46137,10,0,70,70,true,3076
synth-n_1300-m_47847-k_100-p_0.05.txt,1300,47847,2,0,-1,100,true,7893
synth-n_1300-m_49172-k_120-p_0.05.txt,1300,49172,0,0,-1,120,true,9543
synth-n_1300-m_50340-k_150-p_0.05.txt,1300,50340,0,0,-1,150,true,11062
synth-n_1300-m_52952-k_200-p_0.05.txt,1300,52952,1,0,-1,200,true,84360
synth-n_1300-m_89669-k_50-p_0.1.txt,1300,89669,2,0,-1,50,true,1478
synth-n_1300-m_92255-k_70-p_0.1.txt,1300,92255,1,0,-1,70,true,8006
synth-n_1300-m_95352-k_100-p_0.1.txt,1300,95352,0,0,-1,100,true,28016
synth-n_1300-m_97421-k_120-p_0.1.txt,1300,97421,0,0,-1,120,true,14768
synth-n_1300-m_99879-k_150-p_0.1.txt,1300,99879,0,0,-1,0,false,90680
synth-n_150-m_1254-k_10-p_0.1.txt,150,1254,32,0,10,10,true,32
synth-n_150-m_1269-k_15-p_0.1.txt,150,1269,31,2,15,15,true,25
synth-n_150-m_1284-k_20-p_0.1.txt,150,1284,16,0,20,20,true,114
synth-n_150-m_1385-k_25-p_0.1.txt,150,1385,9,0,25,25,true,86
synth-n_150-m_1423-k_30-p_0.1.txt,150,1423,8,0,30,30,true,142
synth-n_150-m_1561-k_70-p_0.1.txt,150,1561,1,0,-1,0,false,90031
synth-n_150-m_1564-k_50-p_0.1.txt,150,1564,0,0,-1,48,true,10066
synth-n_150-m_2446-k_10-p_0.2.txt,150,2446,6,0,10,10,true,70
synth-n_150-m_2502-k_15-p_0.2.txt,150,2502,3,0,15,15,true,74
synth-n_150-m_2552-k_20-p_0.2.txt,150,2552,2,0,20,20,true,84
synth-n_150-m_2731-k_25-p_0.2.txt,150,2731,1,0,25,25,true,64
synth-n_150-m_2807-k_30-p_0.2.txt,150,2807,0,0,30,30,true,78
