name,n,m,k_optimal,k_solved,k_start,verified,pre_removed_nodes,removed_flowers,recursive_steps,millis
synth-n_30-m_28-k_6-p_0.05.txt,26,26,1,1,1,true,26,0,0,0
synth-n_30-m_28-k_8-p_0.05.txt,25,25,1,1,1,true,25,0,0,0
synth-n_30-m_35-k_10-p_0.05.txt,26,26,0,0,0,true,26,0,0,0
synth-n_30-m_55-k_4-p_0.1.txt,29,29,2,2,2,true,29,0,0,0
synth-n_30-m_58-k_6-p_0.1.txt,30,30,2,2,2,true,30,0,0,0
synth-n_30-m_60-k_2-p_0.1.txt,30,30,1,1,1,true,30,0,0,0
synth-n_30-m_64-k_8-p_0.1.txt,30,30,3,3,3,true,30,0,0,0
synth-n_30-m_73-k_10-p_0.1.txt,30,30,4,4,1,true,17,1,3,0
synth-n_30-m_97-k_2-p_0.2.txt,30,30,2,2,2,true,30,0,0,0
synth-n_30-m_99-k_4-p_0.2.txt,29,29,3,3,3,true,29,0,0,0
synth-n_300-m_10263-k_30-p_0.2.txt,300,300,30,30,0,true,0,23,22,7806
synth-n_300-m_2234-k_4-p_0.05.txt,300,300,4,4,4,true,300,0,0,1
synth-n_300-m_2261-k_2-p_0.05.txt,300,300,2,2,2,true,300,0,0,1
synth-n_300-m_2382-k_6-p_0.05.txt,300,300,6,6,6,true,300,0,0,1
synth-n_300-m_2418-k_10-p_0.05.txt,300,300,10,10,3,true,106,6,2,1013
synth-n_300-m_2429-k_8-p_0.05.txt,300,300,8,8,2,true,109,6,1,960
synth-n_300-m_2479-k_15-p_0.05.txt,300,300,15,15,2,true,64,5,14,1880
synth-n_300-m_2480-k_20-p_0.05.txt,300,300,20,20,2,true,71,6,30,1807
synth-n_300-m_2495-k_25-p_0.05.txt,300,300,25,25,0,true,49,2,22648,16127
synth-n_300-m_2561-k_30-p_0.05.txt,300,300,30,0,0,false,36,0,250660,180000
synth-n_300-m_4553-k_2-p_0.1.txt,300,300,2,2,2,true,300,0,0,2
synth-n_300-m_4565-k_4-p_0.1.txt,300,300,4,4,1,true,69,3,1,1542
synth-n_300-m_4664-k_6-p_0.1.txt,300,300,6,6,6,true,300,0,0,1
synth-n_300-m_4762-k_8-p_0.1.txt,300,300,8,8,1,true,48,7,1,2448
synth-n_300-m_4844-k_10-p_0.1.txt,300,300,10,10,0,true,23,10,1,3625
synth-n_300-m_4893-k_15-p_0.1.txt,300,300,15,15,0,true,16,15,1,4049
synth-n_300-m_5040-k_20-p_0.1.txt,300,300,20,20,0,true,10,9,54,4648
synth-n_300-m_5040-k_25-p_0.1.txt,300,300,25,25,0,true,8,4,1523,7307
synth-n_300-m_5197-k_30-p_0.1.txt,300,300,30,30,0,true,7,1,13279,28042
synth-n_300-m_8966-k_2-p_0.2.txt,300,300,2,2,2,true,300,0,0,5
synth-n_300-m_9050-k_4-p_0.2.txt,300,300,4,4,1,true,22,3,1,2912
synth-n_300-m_9125-k_6-p_0.2.txt,300,300,6,6,0,true,11,6,1,3813
synth-n_300-m_9325-k_8-p_0.2.txt,300,300,8,8,0,true,4,8,1,4398
synth-n_300-m_9436-k_10-p_0.2.txt,300,300,10,10,0,true,4,10,1,4896
synth-n_300-m_9694-k_15-p_0.2.txt,300,300,15,15,0,true,3,15,1,5925
synth-n_300-m_9819-k_20-p_0.2.txt,300,300,20,20,0,true,0,20,1,6783
synth-n_300-m_9999-k_25-p_0.2.txt,300,300,25,25,0,true,1,25,1,7143
synth-n_40-m_112-k_8-p_0.1.txt,40,40,6,6,3,true,31,1,3,0
synth-n_40-m_114-k_10-p_0.1.txt,40,40,6,6,6,true,40,0,0,0
synth-n_40-m_114-k_15-p_0.1.txt,40,40,6,6,6,true,40,0,0,0
synth-n_40-m_176-k_2-p_0.2.txt,40,40,2,2,2,true,40,0,0,0
synth-n_40-m_185-k_4-p_0.2.txt,40,40,4,4,0,true,16,4,1,2
synth-n_40-m_192-k_10-p_0.2.txt,40,40,10,10,0,true,4,0,72,9
synth-n_40-m_192-k_15-p_0.2.txt,40,40,13,13,0,true,3,0,190,14
synth-n_40-m_194-k_6-p_0.2.txt,40,40,5,5,0,true,8,3,3,5
