name,n,m,pre_removed_nodes,k_start,k_optimal,k_solved,num_constraints,verified,millis
wikispeedia-n_4000,3996,52711,1524,247,-1,0,1997,false,90000
wikispeedia-n_4181,4179,57572,1558,255,-1,0,1855,false,90000
wikispeedia-n_50,8,5,8,0,0,0,0,true,0
wikispeedia-n_500,370,857,345,45,56,56,16,true,4
synth-n_100-m_1093-k_5-p_0.2.txt,100,1093,100,5,5,5,0,true,0
synth-n_100-m_1146-k_10-p_0.2.txt,100,1146,8,0,10,10,24,true,8
synth-n_100-m_1151-k_15-p_0.2.txt,100,1151,3,0,15,15,30,true,11
synth-n_100-m_1229-k_20-p_0.2.txt,100,1229,0,0,20,20,59,true,35
synth-n_100-m_1263-k_25-p_0.2.txt,100,1263,0,0,25,25,65,true,29
synth-n_100-m_1275-k_30-p_0.2.txt,100,1275,0,0,30,30,358,true,207
synth-n_100-m_263-k_5-p_0.05.txt,99,263,99,5,5,5,0,true,0
synth-n_100-m_289-k_10-p_0.05.txt,99,289,86,1,4,4,6,true,2
synth-n_100-m_302-k_15-p_0.05.txt,100,302,87,4,8,8,6,true,2
synth-n_100-m_332-k_20-p_0.05.txt,100,332,57,3,14,14,20,true,4
synth-n_100-m_336-k_30-p_0.05.txt,100,336,42,1,15,15,53,true,18
synth-n_100-m_343-k_25-p_0.05.txt,100,343,43,0,14,14,29,true,10
synth-n_100-m_515-k_5-p_0.1.txt,100,515,37,0,5,5,10,true,4
synth-n_100-m_591-k_15-p_0.1.txt,100,591,17,0,15,15,32,true,8
synth-n_100-m_611-k_10-p_0.1.txt,100,611,19,0,10,10,22,true,6
synth-n_100-m_628-k_20-p_0.1.txt,100,628,12,0,20,20,53,true,15
synth-n_100-m_691-k_25-p_0.1.txt,100,691,3,0,25,25,112,true,47
synth-n_100-m_732-k_30-p_0.1.txt,100,732,1,0,30,30,188,true,142
synth-n_1000-m_107005-k_50-p_0.2.txt,1000,107005,0,0,-1,50,94,true,12035
synth-n_1000-m_110357-k_70-p_0.2.txt,1000,110357,0,0,-1,70,142,true,16897
synth-n_1000-m_114433-k_100-p_0.2.txt,1000,114433,0,0,-1,100,207,true,22895
synth-n_1000-m_116757-k_120-p_0.2.txt,1000,116757,0,0,-1,120,258,true,27852
synth-n_1000-m_119520-k_150-p_0.2.txt,1000,119520,0,0,-1,150,392,true,46029
synth-n_1000-m_124702-k_200-p_0.2.txt,1000,124702,0,0,-1,0,930,false,90000
synth-n_1000-m_27142-k_50-p_0.05.txt,1000,27142,13,0,50,50,116,true,4517
synth-n_1000-m_28175-k_70-p_0.05.txt,1000,28175,11,0,70,70,170,true,6641
