name,n,m,pre_removed_nodes,k_start,k_optimal,k_solved,verified,millis
synth-n_100-m_336-k_30-p_0.05.txt,100,336,0,0,15,15,true,143
synth-n_100-m_343-k_25-p_0.05.txt,100,343,0,0,14,14,true,122
synth-n_100-m_515-k_5-p_0.1.txt,100,515,0,0,5,5,true,35
synth-n_100-m_591-k_15-p_0.1.txt,100,591,0,0,15,15,true,140
synth-n_100-m_611-k_10-p_0.1.txt,100,611,0,0,10,10,true,184
synth-n_100-m_628-k_20-p_0.1.txt,100,628,0,0,20,20,true,155
synth-n_100-m_691-k_25-p_0.1.txt,100,691,0,0,25,25,true,2243
synth-n_100-m_732-k_30-p_0.1.txt,100,732,0,0,30,30,true,4653
synth-n_1000-m_107005-k_50-p_0.2.txt,1000,107005,0,0,-1,0,false,90477
synth-n_1000-m_110357-k_70-p_0.2.txt,1000,110357,0,0,-1,0,false,90584
synth-n_1000-m_114433-k_100-p_0.2.txt,1000,114433,0,0,-1,0,false,90509
synth-n_1000-m_116757-k_120-p_0.2.txt,1000,116757,0,0,-1,0,false,90538
synth-n_1000-m_119520-k_150-p_0.2.txt,1000,119520,0,0,-1,0,false,90500
synth-n_1000-m_124702-k_200-p_0.2.txt,1000,124702,0,0,-1,0,false,90495
synth-n_1000-m_27142-k_50-p_0.05.txt,1000,27142,0,0,50,50,true,13650
synth-n_1000-m_28175-k_70-p_0.05.txt,1000,28175,0,0,70,70,true,19751
synth-n_1000-m_29037-k_100-p_0.05.txt,1000,29037,0,0,100,100,true,42232
synth-n_1000-m_30042-k_120-p_0.05.txt,1000,30042,0,0,120,790,false,90176
synth-n_1000-m_30795-k_150-p_0.05.txt,1000,30795,0,0,150,787,false,90181
synth-n_1000-m_32410-k_200-p_0.05.txt,1000,32410,0,0,-1,771,false,90228
synth-n_1000-m_54531-k_50-p_0.1.txt,1000,54531,0,0,50,50,true,51256
synth-n_1000-m_55974-k_70-p_0.1.txt,1000,55974,0,0,70,842,false,90334
synth-n_1000-m_57929-k_100-p_0.1.txt,1000,57929,0,0,-1,831,false,90361
synth-n_1000-m_59867-k_120-p_0.1.txt,1000,59867,0,0,-1,0,false,90325
synth-n_1000-m_60934-k_150-p_0.1.txt,1000,60934,0,0,-1,880,false,90373
synth-n_1000-m_64710-k_200-p_0.1.txt,1000,64710,0,0,-1,853,false,90390
synth-n_1300-m_104213-k_200-p_0.1.txt,1300,104213,0,0,-1,0,false,90431
synth-n_1300-m_178841-k_50-p_0.2.txt,1300,178841,0,0,-1,0,false,92618
synth-n_1300-m_183367-k_70-p_0.2.txt,1300,183367,0,0,-1,0,false,91871
synth-n_1300-m_188195-k_100-p_0.2.txt,1300,188195,0,0,-1,0,false,90927
synth-n_1300-m_191963-k_120-p_0.2.txt,1300,191963,0,0,-1,0,false,91821
synth-n_1300-m_196174-k_150-p_0.2.txt,1300,196174,0,0,-1,0,false,90818
synth-n_1300-m_204142-k_200-p_0.2.txt,1300,204142,0,0,-1,0,false,90821
synth-n_1300-m_45241-k_50-p_0.05.txt,1300,45241,0,0,50,50,true,12918
synth-n_1300-m_46137-k_70-p_0.05.txt,1300,46137,0,0,70,70,true,28920
synth-n_1300-m_47847-k_100-p_0.05.txt,1300,47847,0,0,-1,100,true,74527
synth-n_1300-m_49172-k_120-p_0.05.txt,1300,49172,0,0,-1,0,false,90234
synth-n_1300-m_50340-k_150-p_0.05.txt,1300,50340,0,0,-1,1088,false,90283
synth-n_1300-m_52952-k_200-p_0.05.txt,1300,52952,0,0,-1,1084,false,90318
synth-n_1300-m_89669-k_50-p_0.1.txt,1300,89669,0,0,-1,50,false,90562
synth-n_1300-m_92255-k_70-p_0.1.txt,1300,92255,0,0,-1,0,false,90403
synth-n_1300-m_95352-k_100-p_0.1.txt,1300,95352,0,0,-1,0,false,90387
synth-n_1300-m_97421-k_120-p_0.1.txt,1300,97421,0,0,-1,0,false,90417
synth-n_1300-m_99879-k_150-p_0.1.txt,1300,99879,0,0,-1,0,false,90408
synth-n_150-m_1254-k_10-p_0.1.txt,150,1254,0,0,10,10,true,91
synth-n_150-m_1269-k_15-p_0.1.txt,150,1269,0,0,15,15,true,168
synth-n_150-m_1284-k_20-p_0.1.txt,150,1284,0,0,20,20,true,171
synth-n_150-m_1385-k_25-p_0.1.txt,150,1385,0,0,25,25,true,660
synth-n_150-m_1423-k_30-p_0.1.txt,150,1423,0,0,30,30,true,265
synth-n_150-m_1561-k_70-p_0.1.txt,150,1561,0,0,-1,74,false,90056
synth-n_150-m_1564-k_50-p_0.1.txt,150,1564,0,0,-1,48,true,9308
synth-n_150-m_2446-k_10-p_0.2.txt,150,2446,0,0,10,10,true,251
synth-n_150-m_2502-k_15-p_0.2.txt,150,2502,0,0,15,15,true,343
synth-n_150-m_2552-k_20-p_0.2.txt,150,2552,0,0,20,20,true,444
synth-n_150-m_2731-k_25-p_0.2.txt,150,2731,0,0,25,25,true,834
synth-n_150-m_2807-k_30-p_0.2.txt,150,2807,0,0,30,30,true,725
synth-n_150-m_3040-k_50-p_0.2.txt,150,3040,0,0,50,50,true,5173
