name,n,m,k_optimal,k_solved,k_start,verified,pre_removed_nodes,packing_size,packing_millis,millis,recursive_steps
synth-n_150-m_666-k_20-p_0.05.txt,150,666,15,15,1,true,56,14,1,4,6
synth-n_150-m_704-k_25-p_0.05.txt,150,704,23,23,1,true,48,20,4,8,36
synth-n_150-m_781-k_50-p_0.05.txt,150,781,32,32,0,true,25,26,4199,6468,25827
synth-n_150-m_782-k_30-p_0.05.txt,150,782,28,28,1,true,29,22,319,463,1768
synth-n_150-m_805-k_70-p_0.05.txt,150,805,43,37,0,false,12,29,56004,90001,344630
synth-n_1600-m_137884-k_70-p_0.1.txt,1600,137884,70,70,0,true,0,70,5473,6645,66
synth-n_1600-m_141523-k_100-p_0.1.txt,1600,141523,100,100,0,true,0,100,5532,7185,97
synth-n_1600-m_143789-k_120-p_0.1.txt,1600,143789,120,120,0,true,0,120,5666,7465,116
synth-n_1600-m_147721-k_150-p_0.1.txt,1600,147721,150,150,0,true,0,150,5401,7671,145
synth-n_1600-m_152838-k_200-p_0.1.txt,1600,152838,200,200,0,true,0,200,5218,7873,195
synth-n_1600-m_273042-k_70-p_0.2.txt,1600,273042,70,70,0,true,0,70,10148,13561,68
synth-n_1600-m_279359-k_100-p_0.2.txt,1600,279359,100,100,0,true,0,100,9680,14025,99
synth-n_1600-m_284773-k_120-p_0.2.txt,1600,284773,120,120,0,true,0,120,10527,15666,116
synth-n_1600-m_290831-k_150-p_0.2.txt,1600,290831,150,150,0,true,0,150,12735,20045,146
synth-n_1600-m_301143-k_200-p_0.2.txt,1600,301143,200,200,0,true,0,200,12550,22058,198
synth-n_1600-m_68907-k_70-p_0.05.txt,1600,68907,70,70,0,true,2,70,2693,3066,65
synth-n_1600-m_70865-k_100-p_0.05.txt,1600,70865,100,100,0,true,3,100,2638,3129,96
synth-n_1600-m_72748-k_120-p_0.05.txt,1600,72748,120,120,0,true,0,120,2875,3459,117
synth-n_1600-m_74607-k_150-p_0.05.txt,1600,74607,150,150,0,true,0,150,2785,3582,147
synth-n_1600-m_77345-k_200-p_0.05.txt,1600,77345,200,200,0,true,0,200,3110,4180,194
synth-n_200-m_1076-k_10-p_0.05.txt,200,1076,10,10,10,true,200,0,0,1,0
synth-n_200-m_1167-k_15-p_0.05.txt,200,1167,15,15,1,true,62,13,3,7,9
synth-n_200-m_1175-k_20-p_0.05.txt,200,1175,20,20,0,true,43,18,8,12,24
synth-n_200-m_1245-k_25-p_0.05.txt,200,1245,24,24,0,true,48,24,4,9,18
synth-n_200-m_1266-k_30-p_0.05.txt,200,1266,30,30,0,true,38,27,74,110,238
synth-n_200-m_1336-k_50-p_0.05.txt,200,1336,45,45,0,true,15,38,3804,6229,14226
synth-n_200-m_1434-k_70-p_0.05.txt,200,1434,-1,54,0,false,2,47,48184,90001,230582
synth-n_200-m_2169-k_15-p_0.1.txt,200,2169,15,15,1,true,25,13,8,12,9
synth-n_200-m_2199-k_10-p_0.1.txt,200,2199,10,10,0,true,20,10,12,13,8
synth-n_200-m_2293-k_20-p_0.1.txt,200,2293,20,20,0,true,12,20,11,15,15
synth-n_200-m_2369-k_25-p_0.1.txt,200,2369,25,25,0,true,13,25,11,16,21
synth-n_200-m_2491-k_30-p_0.1.txt,200,2491,30,30,0,true,8,30,14,21,28
synth-n_200-m_2592-k_50-p_0.1.txt,200,2592,50,50,0,true,1,49,32,55,100
synth-n_200-m_2772-k_70-p_0.1.txt,200,2772,70,70,0,true,0,59,22804,66876,143263
synth-n_200-m_4301-k_10-p_0.2.txt,200,4301,10,10,0,true,5,10,14,20,9
synth-n_200-m_4485-k_20-p_0.2.txt,200,4485,20,20,0,true,0,20,21,29,18
synth-n_200-m_4497-k_15-p_0.2.txt,200,4497,15,15,0,true,4,15,19,23,13
synth-n_200-m_4763-k_25-p_0.2.txt,200,4763,25,25,0,true,0,25,19,32,23
synth-n_200-m_4854-k_30-p_0.2.txt,200,4854,30,30,0,true,1,30,14,25,28
synth-n_200-m_5144-k_50-p_0.2.txt,200,5144,50,50,0,true,0,50,15,32,46
synth-n_200-m_5366-k_70-p_0.2.txt,200,5366,70,70,0,true,0,64,157,749,735
synth-n_2000-m_106592-k_70-p_0.05.txt,2000,106592,70,70,0,true,9,70,4985,5653,60
synth-n_2000-m_108739-k_100-p_0.05.txt,2000,108739,100,100,0,true,1,100,5986,6969,92
synth-n_2000-m_110886-k_120-p_0.05.txt,2000,110886,120,120,0,true,2,120,5742,6942,112
synth-n_2000-m_112582-k_150-p_0.05.txt,2000,112582,150,150,0,true,0,150,5820,7201,138
synth-n_2000-m_117145-k_200-p_0.05.txt,2000,117145,200,200,0,true,0,200,5517,7298,192
synth-n_2000-m_212793-k_70-p_0.1.txt,2000,212793,70,70,0,true,0,70,10383,12464,67
synth-n_2000-m_217131-k_100-p_0.1.txt,2000,217131,100,100,0,true,0,100,10650,13340,95
synth-n_2000-m_220005-k_120-p_0.1.txt,2000,220005,120,120,0,true,0,120,10862,14054,112
synth-n_2000-m_225391-k_150-p_0.1.txt,2000,225391,150,150,0,true,0,150,10640,14533,146
synth-n_2000-m_233102-k_200-p_0.1.txt,2000,233102,200,200,0,true,0,200,10593,15357,196
synth-n_2000-m_422023-k_70-p_0.2.txt,2000,422023,70,70,0,true,0,70,19255,25649,69
synth-n_2000-m_430943-k_100-p_0.2.txt,2000,430943,100,100,0,true,0,100,21886,30786,98
synth-n_2000-m_435643-k_120-p_0.2.txt,2000,435643,120,120,0,true,0,120,22791,32968,117
synth-n_2000-m_444160-k_150-p_0.2.txt,2000,444160,150,150,0,true,0,150,23876,35545,147
synth-n_2000-m_457573-k_200-p_0.2.txt,2000,457573,200,200,0,true,0,200,24801,39895,199
synth-n_2300-m_142851-k_100-p_0.05.txt,2300,142851,100,100,0,true,1,100,7699,8940,95
synth-n_2300-m_144829-k_120-p_0.05.txt,2300,144829,120,120,0,true,2,120,7851,9154,109
synth-n_2300-m_147738-k_150-p_0.05.txt,2300,147738,150,150,0,true,1,150,8241,9897,144
synth-n_2300-m_152429-k_200-p_0.05.txt,2300,152429,200,200,0,true,0,200,8206,10421,194
synth-n_2300-m_284623-k_100-p_0.1.txt,2300,284623,100,100,0,true,0,100,16155,20115,94
synth-n_2300-m_286796-k_120-p_0.1.txt,2300,286796,120,120,0,true,0,120,17371,22032,118
synth-n_2300-m_292795-k_150-p_0.1.txt,2300,292795,150,150,0,true,0,150,16644,21743,147
synth-n_2300-m_302503-k_200-p_0.1.txt,2300,302503,200,200,0,true,0,200,16840,23985,196
synth-n_2300-m_563042-k_100-p_0.2.txt,2300,563042,100,100,0,true,0,100,25620,38326,98
synth-n_2300-m_569928-k_120-p_0.2.txt,2300,569928,120,120,0,true,0,120,28499,43175,119
synth-n_2300-m_580179-k_150-p_0.2.txt,2300,580179,150,150,0,true,0,150,29082,44110,148
synth-n_2300-m_595551-k_200-p_0.2.txt,2300,595551,200,200,0,true,0,200,31213,51721,197
synth-n_250-m_1653-k_10-p_0.05.txt,250,1653,10,10,10,true,250,0,0,2,0
synth-n_250-m_1708-k_15-p_0.05.txt,250,1708,15,15,1,true,79,14,4,6,7
synth-n_250-m_1797-k_25-p_0.05.txt,250,1797,25,25,0,true,39,23,43,53,49
synth-n_250-m_1806-k_20-p_0.05.txt,250,1806,20,20,1,true,67,18,16,20,26
synth-n_250-m_1841-k_30-p_0.05.txt,250,1841,30,30,0,true,32,28,14,20,27
synth-n_250-m_1998-k_50-p_0.05.txt,250,1998,50,50,0,true,12,44,1097,1607,2098
synth-n_250-m_2173-k_70-p_0.05.txt,250,2173,69,66,0,false,9,58,53105,90001,210069
synth-n_250-m_2260-k_100-p_0.05.txt,250,2260,-1,70,0,false,0,61,39574,90001,209666
synth-n_250-m_2350-k_120-p_0.05.txt,250,2350,-1,73,0,false,0,64,36387,90001,236756
synth-n_250-m_3237-k_10-p_0.1.txt,250,3237,10,10,0,true,23,10,10,16,4
synth-n_250-m_3416-k_15-p_0.1.txt,250,3416,15,15,0,true,20,15,12,17,13
synth-n_250-m_3493-k_25-p_0.1.txt,250,3493,25,25,1,true,13,24,18,25,21
synth-n_250-m_3591-k_20-p_0.1.txt,250,3591,20,20,0,true,9,20,14,20,15
synth-n_250-m_3730-k_30-p_0.1.txt,250,3730,30,30,0,true,4,30,15,24,25
synth-n_250-m_3992-k_50-p_0.1.txt,250,3992,50,50,0,true,0,50,19,25,43
synth-n_250-m_4149-k_70-p_0.1.txt,250,4149,70,70,0,true,0,67,51,95,145
synth-n_250-m_4386-k_100-p_0.1.txt,250,4386,100,88,0,false,0,76,18505,90001,150323
synth-n_250-m_4530-k_120-p_0.1.txt,250,4530,-1,91,0,false,0,80,16424,90001,148945
synth-n_250-m_6567-k_10-p_0.2.txt,250,6567,10,10,0,true,6,10,23,30,7
synth-n_250-m_6839-k_20-p_0.2.txt,250,6839,20,20,0,true,3,20,30,39,19
synth-n_250-m_6880-k_15-p_0.2.txt,250,6880,15,15,0,true,2,15,27,36,13
synth-n_250-m_7102-k_25-p_0.2.txt,250,7102,25,25,0,true,1,25,35,46,23
synth-n_250-m_7321-k_30-p_0.2.txt,250,7321,30,30,0,true,1,30,32,43,27
synth-n_250-m_8019-k_50-p_0.2.txt,250,8019,50,50,0,true,0,50,39,54,47
synth-n_250-m_8255-k_70-p_0.2.txt,250,8255,70,70,0,true,0,70,30,57,68
synth-n_250-m_8674-k_100-p_0.2.txt,250,8674,100,100,0,true,0,81,11022,84283,61904
synth-n_250-m_8784-k_120-p_0.2.txt,250,8784,-1,100,0,false,0,82,10066,90001,59272
synth-n_2600-m_181265-k_100-p_0.05.txt,2600,181265,100,100,0,true,2,100,12172,14017,92
synth-n_2600-m_183371-k_120-p_0.05.txt,2600,183371,120,120,0,true,0,120,13996,16368,114
synth-n_2600-m_186921-k_150-p_0.05.txt,2600,186921,150,150,0,true,1,150,13771,16389,145
