name,level,cycle_size,recursive_steps
synth-n_100-m_596-k_15-p_0.1.txt,8,2.0,29
synth-n_100-m_596-k_15-p_0.1.txt,9,2.0,22
synth-n_100-m_596-k_15-p_0.1.txt,10,2.0,17
synth-n_100-m_596-k_15-p_0.1.txt,11,2.0,11
synth-n_100-m_596-k_15-p_0.1.txt,12,2.0,4
synth-n_100-m_596-k_15-p_0.1.txt,13,NaN,0
synth-n_100-m_643-k_25-p_0.1.txt,0,2.0,1
synth-n_100-m_643-k_25-p_0.1.txt,1,2.0,2
synth-n_100-m_643-k_25-p_0.1.txt,2,2.0,4
synth-n_100-m_643-k_25-p_0.1.txt,3,2.0,8
synth-n_100-m_643-k_25-p_0.1.txt,4,2.0,15
synth-n_100-m_643-k_25-p_0.1.txt,5,2.0,30
synth-n_100-m_643-k_25-p_0.1.txt,6,2.0,56
synth-n_100-m_643-k_25-p_0.1.txt,7,2.0,100
synth-n_100-m_643-k_25-p_0.1.txt,8,2.0163043,184
synth-n_100-m_643-k_25-p_0.1.txt,9,2.0159745,313
synth-n_100-m_643-k_25-p_0.1.txt,10,2.0168855,533
synth-n_100-m_643-k_25-p_0.1.txt,11,2.0115075,869
synth-n_100-m_643-k_25-p_0.1.txt,12,2.0115356,1387
synth-n_100-m_643-k_25-p_0.1.txt,13,2.0115943,2070
synth-n_100-m_643-k_25-p_0.1.txt,14,2.0197127,2993
synth-n_100-m_643-k_25-p_0.1.txt,15,2.0221639,4196
synth-n_100-m_643-k_25-p_0.1.txt,16,2.022788,5617
synth-n_100-m_643-k_25-p_0.1.txt,17,2.020819,7253
synth-n_100-m_643-k_25-p_0.1.txt,18,2.0249453,8659
synth-n_100-m_643-k_25-p_0.1.txt,19,2.0289104,9443
synth-n_100-m_643-k_25-p_0.1.txt,20,2.0326338,9101
synth-n_100-m_643-k_25-p_0.1.txt,21,2.0384405,7284
synth-n_100-m_643-k_25-p_0.1.txt,22,2.0452201,4268
synth-n_100-m_643-k_25-p_0.1.txt,23,2.042471,1036
synth-n_100-m_645-k_20-p_0.1.txt,0,2.0,1
