name,n,m,k_optimal,k_solved,k_start,verified,pre_removed_nodes,packing_size,packing_millis,millis,recursive_steps
ucsocial-n_100,26,30,5,5,5,true,26,0,0,5,0
ucsocial-n_1000,882,6250,258,258,219,true,798,37,0,14,5
ucsocial-n_1500,1412,12596,435,435,253,true,1033,158,81,170,281
ucsocial-n_1902,1899,20296,585,585,381,true,1493,174,317,623,1418
ucsocial-n_200,82,138,23,23,23,true,82,0,0,19,0
ucsocial-n_50,16,18,3,3,3,true,16,0,0,5,0
ucsocial-n_500,353,1231,80,80,80,true,353,0,0,7,0
usairport-n_100,46,92,13,13,13,true,46,0,0,6,0
usairport-n_1000,910,10027,253,253,146,true,730,96,9,40,217
usairport-n_1500,1490,25277,428,428,222,true,1115,188,851,1586,26582
usairport-n_1577,1574,28236,455,455,243,true,1189,187,859,2033,21977
usairport-n_200,104,308,29,29,19,true,85,8,0,9,6
usairport-n_50,10,19,5,5,2,true,5,3,1,5,2
usairport-n_500,383,3451,112,112,68,true,305,36,2,14,65
wikispeedia-n_100,26,19,0,0,0,true,26,0,0,5,0
wikispeedia-n_1000,903,3091,156,156,145,true,884,10,1,9,11
wikispeedia-n_1500,1415,7438,271,271,165,true,1114,96,38658,46818,139546
wikispeedia-n_200,124,190,14,14,14,true,124,0,0,6,0
wikispeedia-n_2000,1927,12519,437,426,201,false,1300,210,51373,90001,126747
wikispeedia-n_3000,2973,29508,804,752,224,false,1442,498,42391,90001,33380
wikispeedia-n_4000,3996,52711,-1,1085,247,false,1524,792,34790,90001,13232
wikispeedia-n_4181,4179,57572,-1,1144,255,false,1558,851,35546,90001,12654
wikispeedia-n_50,8,5,0,0,0,true,8,0,0,6,0
wikispeedia-n_500,370,857,56,56,45,true,345,9,0,22,7
synth-n_100-m_1093-k_5-p_0.2.txt,100,1093,5,5,5,true,100,0,0,7,0
synth-n_100-m_1146-k_10-p_0.2.txt,100,1146,10,10,0,true,8,10,1,8,6
synth-n_100-m_1151-k_15-p_0.2.txt,100,1151,15,15,0,true,3,15,2,9,11
synth-n_100-m_1229-k_20-p_0.2.txt,100,1229,20,20,0,true,0,20,2,17,16
synth-n_100-m_1263-k_25-p_0.2.txt,100,1263,25,25,0,true,0,24,3,12,29
synth-n_100-m_1275-k_30-p_0.2.txt,100,1275,30,30,0,true,0,25,8,27,88
synth-n_100-m_263-k_5-p_0.05.txt,99,263,5,5,5,true,99,0,0,8,0
synth-n_100-m_289-k_10-p_0.05.txt,99,289,4,4,1,true,86,2,0,6,3
synth-n_100-m_302-k_15-p_0.05.txt,100,302,8,8,4,true,87,4,0,6,2
