name,n,m,k_optimal,k_solved,k_start,verified,pre_removed_nodes,removed_flowers,recursive_steps,millis,packing_millis
synth-n_1600-m_70865-k_100-p_0.05.txt,1600,70865,-1,100,0,true,3,0,107,31497,21530
synth-n_1600-m_72748-k_120-p_0.05.txt,1600,72748,-1,120,0,true,0,0,150,60596,42147
synth-n_1600-m_74607-k_150-p_0.05.txt,1600,74607,-1,150,0,false,0,0,132,90302,65660
synth-n_1600-m_77345-k_200-p_0.05.txt,1600,77345,-1,194,0,false,0,0,84,90525,73513
synth-n_200-m_1076-k_10-p_0.05.txt,200,1076,10,10,10,true,200,0,0,0,0
synth-n_200-m_1167-k_15-p_0.05.txt,200,1167,15,15,1,true,62,0,20,10,7
synth-n_200-m_1175-k_20-p_0.05.txt,200,1175,20,20,0,true,43,0,60,55,46
synth-n_200-m_1245-k_25-p_0.05.txt,200,1245,24,24,0,true,48,0,29,23,20
synth-n_200-m_1266-k_30-p_0.05.txt,200,1266,30,30,0,true,38,0,2752,3503,2995
synth-n_200-m_1336-k_50-p_0.05.txt,200,1336,45,42,0,false,15,0,37671,90000,75815
synth-n_200-m_1434-k_70-p_0.05.txt,200,1434,-1,49,0,false,2,0,25494,90004,75244
synth-n_200-m_2169-k_15-p_0.1.txt,200,2169,15,15,1,true,25,0,18,17,14
synth-n_200-m_2199-k_10-p_0.1.txt,200,2199,10,10,0,true,20,0,8,5,3
synth-n_200-m_2293-k_20-p_0.1.txt,200,2293,20,20,0,true,12,0,17,17,15
synth-n_200-m_2369-k_25-p_0.1.txt,200,2369,25,25,0,true,13,0,22,25,22
synth-n_200-m_2491-k_30-p_0.1.txt,200,2491,30,30,0,true,8,0,71,240,190
synth-n_200-m_2592-k_50-p_0.1.txt,200,2592,50,50,0,true,1,0,621,2260,1894
synth-n_200-m_2772-k_70-p_0.1.txt,200,2772,70,67,0,false,0,0,20619,90002,80976
synth-n_200-m_4301-k_10-p_0.2.txt,200,4301,10,10,0,true,5,0,8,9,6
synth-n_200-m_4485-k_20-p_0.2.txt,200,4485,20,20,0,true,0,0,19,33,21
synth-n_200-m_4497-k_15-p_0.2.txt,200,4497,15,15,0,true,4,0,13,18,14
synth-n_200-m_4763-k_25-p_0.2.txt,200,4763,25,25,0,true,0,0,33,170,100
synth-n_200-m_4854-k_30-p_0.2.txt,200,4854,30,30,0,true,1,0,38,171,109
synth-n_200-m_5144-k_50-p_0.2.txt,200,5144,50,50,0,true,0,0,134,999,752
synth-n_200-m_5366-k_70-p_0.2.txt,200,5366,70,70,0,true,0,0,1335,7997,6645
synth-n_2000-m_106592-k_70-p_0.05.txt,2000,106592,70,70,0,true,9,0,105,32191,23332
synth-n_2000-m_108739-k_100-p_0.05.txt,2000,108739,-1,100,0,true,1,0,94,39667,22420
synth-n_2000-m_110886-k_120-p_0.05.txt,2000,110886,-1,119,0,false,2,0,83,90121,67633
synth-n_2000-m_112582-k_150-p_0.05.txt,2000,112582,-1,149,0,false,0,0,65,90796,69593
synth-n_2000-m_117145-k_200-p_0.05.txt,2000,117145,-1,195,0,false,0,0,58,90429,71654
synth-n_2000-m_212793-k_70-p_0.1.txt,2000,212793,-1,70,0,true,0,0,67,52513,33548
synth-n_2000-m_217131-k_100-p_0.1.txt,2000,217131,-1,100,0,false,0,0,54,90264,63932
synth-n_2000-m_220005-k_120-p_0.1.txt,2000,220005,-1,120,0,false,0,0,47,90271,67197
