name,n,m,k_optimal,k_solved,k_start,verified,pre_removed_nodes,removed_flowers,recursive_steps,millis
synth-n_100-m_263-k_5-p_0.05.txt,99,263,-1,5,5,false,99,0,0,0
synth-n_100-m_289-k_10-p_0.05.txt,99,289,-1,4,1,false,86,0,6,0
synth-n_100-m_302-k_15-p_0.05.txt,100,302,-1,8,4,false,87,0,6,0
synth-n_100-m_332-k_20-p_0.05.txt,100,332,-1,14,3,false,57,0,39,1
synth-n_100-m_336-k_30-p_0.05.txt,100,336,-1,15,1,false,42,0,192,10
synth-n_100-m_343-k_25-p_0.05.txt,100,343,-1,14,0,false,43,0,153,6
synth-n_100-m_515-k_5-p_0.1.txt,100,515,-1,5,0,false,37,0,8,0
synth-n_100-m_591-k_15-p_0.1.txt,100,591,-1,15,0,false,17,0,86,8
synth-n_100-m_611-k_10-p_0.1.txt,100,611,-1,10,0,false,19,0,18,1
synth-n_100-m_628-k_20-p_0.1.txt,100,628,-1,20,0,false,12,0,163,17
synth-n_100-m_691-k_25-p_0.1.txt,100,691,-1,25,0,false,3,0,1111,163
synth-n_100-m_732-k_30-p_0.1.txt,100,732,-1,30,0,false,1,0,19723,2902
synth-n_1000-m_107005-k_50-p_0.2.txt,1000,107005,-1,50,0,false,0,0,97,59118
synth-n_1000-m_110357-k_70-p_0.2.txt,1000,110357,-1,70,0,false,0,0,138,77940
synth-n_1000-m_114433-k_100-p_0.2.txt,1000,114433,-1,100,0,false,0,0,213,100461
synth-n_1000-m_116757-k_120-p_0.2.txt,1000,116757,-1,120,0,false,0,0,339,131053
synth-n_1000-m_119520-k_150-p_0.2.txt,1000,119520,-1,150,0,false,0,0,743,180638
synth-n_1000-m_124702-k_200-p_0.2.txt,1000,124702,-1,198,0,false,0,0,901,180392
synth-n_1000-m_27142-k_50-p_0.05.txt,1000,27142,-1,50,0,false,13,0,144,15132
synth-n_1000-m_28175-k_70-p_0.05.txt,1000,28175,-1,70,0,false,11,0,168,16265
synth-n_1000-m_29037-k_100-p_0.05.txt,1000,29037,-1,100,0,false,5,0,496,40968
synth-n_1000-m_30042-k_120-p_0.05.txt,1000,30042,-1,120,0,false,0,0,393,31213
synth-n_1000-m_30795-k_150-p_0.05.txt,1000,30795,-1,150,0,false,0,0,1606,98515
synth-n_1000-m_32410-k_200-p_0.05.txt,1000,32410,-1,192,0,false,0,0,4293,180017
synth-n_1000-m_54531-k_50-p_0.1.txt,1000,54531,-1,50,0,false,3,0,96,27453
synth-n_1000-m_55974-k_70-p_0.1.txt,1000,55974,-1,70,0,false,0,0,131,32658
synth-n_1000-m_57929-k_100-p_0.1.txt,1000,57929,-1,100,0,false,0,0,362,69815
synth-n_1000-m_59867-k_120-p_0.1.txt,1000,59867,-1,120,0,false,0,0,567,97029
synth-n_1000-m_60934-k_150-p_0.1.txt,1000,60934,-1,150,0,false,0,0,1420,180034
synth-n_1000-m_64710-k_200-p_0.1.txt,1000,64710,-1,197,0,false,0,0,1779,180003
synth-n_1300-m_104213-k_200-p_0.1.txt,1300,104213,-1,197,0,false,0,0,797,180116
synth-n_1300-m_178841-k_50-p_0.2.txt,1300,178841,-1,50,0,false,0,0,116,163983
synth-n_1300-m_183367-k_70-p_0.2.txt,1300,183367,-1,70,0,false,0,0,135,182284
synth-n_1300-m_188195-k_100-p_0.2.txt,1300,188195,-1,100,0,false,0,0,205,181268
synth-n_1300-m_191963-k_120-p_0.2.txt,1300,191963,-1,120,0,false,0,0,354,181372
synth-n_1300-m_196174-k_150-p_0.2.txt,1300,196174,-1,150,0,false,0,0,386,181011
synth-n_1300-m_204142-k_200-p_0.2.txt,1300,204142,-1,197,0,false,0,0,461,180492
synth-n_1300-m_45241-k_50-p_0.05.txt,1300,45241,-1,50,0,false,9,0,146,42319
synth-n_1300-m_46137-k_70-p_0.05.txt,1300,46137,-1,70,0,false,10,0,138,35952
synth-n_1300-m_47847-k_100-p_0.05.txt,1300,47847,-1,100,0,false,2,0,270,64071
synth-n_1300-m_49172-k_120-p_0.05.txt,1300,49172,-1,120,0,false,0,0,314,69765
synth-n_1300-m_50340-k_150-p_0.05.txt,1300,50340,-1,149,0,false,0,0,1212,180289
synth-n_1300-m_52952-k_200-p_0.05.txt,1300,52952,-1,200,0,false,1,0,1257,179888
synth-n_1300-m_89669-k_50-p_0.1.txt,1300,89669,-1,50,0,false,2,0,99,69076
synth-n_1300-m_92255-k_70-p_0.1.txt,1300,92255,-1,70,0,false,1,0,138,93013
synth-n_1300-m_95352-k_100-p_0.1.txt,1300,95352,-1,100,0,false,0,0,380,180902
synth-n_1300-m_97421-k_120-p_0.1.txt,1300,97421,-1,120,0,false,0,0,322,160412
synth-n_1300-m_99879-k_150-p_0.1.txt,1300,99879,-1,150,0,false,0,0,312,146099
synth-n_150-m_1254-k_10-p_0.1.txt,150,1254,-1,10,0,false,32,0,17,3
synth-n_150-m_1269-k_15-p_0.1.txt,150,1269,-1,15,2,false,31,0,32,7
synth-n_150-m_1284-k_20-p_0.1.txt,150,1284,-1,20,0,false,16,0,45,10
synth-n_150-m_1385-k_25-p_0.1.txt,150,1385,-1,25,0,false,9,0,94,33
synth-n_150-m_1423-k_30-p_0.1.txt,150,1423,-1,30,0,false,8,0,341,141
synth-n_150-m_1561-k_70-p_0.1.txt,150,1561,-1,54,0,false,1,0,457378,180000
synth-n_150-m_1564-k_50-p_0.1.txt,150,1564,-1,48,0,false,0,0,24978,10217
synth-n_150-m_2446-k_10-p_0.2.txt,150,2446,-1,10,0,false,6,0,19,16
synth-n_150-m_2502-k_15-p_0.2.txt,150,2502,-1,15,0,false,3,0,28,24
synth-n_150-m_2552-k_20-p_0.2.txt,150,2552,-1,20,0,false,2,0,111,98
synth-n_150-m_2731-k_25-p_0.2.txt,150,2731,-1,25,0,false,1,0,81,82
synth-n_150-m_2807-k_30-p_0.2.txt,150,2807,-1,30,0,false,0,0,77,67
synth-n_150-m_3040-k_50-p_0.2.txt,150,3040,-1,50,0,false,0,0,1024,873
synth-n_150-m_3050-k_70-p_0.2.txt,150,3050,-1,70,0,false,0,0,273343,180000
synth-n_150-m_630-k_15-p_0.05.txt,150,630,-1,15,1,false,74,0,136,9
synth-n_150-m_634-k_10-p_0.05.txt,150,634,-1,7,7,false,150,0,0,0
synth-n_150-m_666-k_20-p_0.05.txt,150,666,-1,15,1,false,56,0,53,5
synth-n_150-m_704-k_25-p_0.05.txt,150,704,-1,23,1,false,48,0,1203,160
synth-n_150-m_781-k_50-p_0.05.txt,150,781,-1,32,0,false,25,0,166185,28303
synth-n_150-m_782-k_30-p_0.05.txt,150,782,-1,28,1,false,29,0,18091,2488
synth-n_150-m_805-k_70-p_0.05.txt,150,805,-1,37,0,false,12,0,781666,180000
synth-n_1600-m_137884-k_70-p_0.1.txt,1600,137884,-1,70,0,false,0,0,157,180905
synth-n_1600-m_141523-k_100-p_0.1.txt,1600,141523,-1,100,0,false,0,0,174,181829
synth-n_1600-m_143789-k_120-p_0.1.txt,1600,143789,-1,120,0,false,0,0,262,180305
synth-n_1600-m_147721-k_150-p_0.1.txt,1600,147721,-1,150,0,false,0,0,406,181597
synth-n_1600-m_152838-k_200-p_0.1.txt,1600,152838,-1,198,0,false,0,0,452,180558
synth-n_1600-m_273042-k_70-p_0.2.txt,1600,273042,-1,70,0,false,0,0,104,183860
synth-n_1600-m_279359-k_100-p_0.2.txt,1600,279359,-1,100,0,false,0,0,157,183057
synth-n_1600-m_284773-k_120-p_0.2.txt,1600,284773,-1,119,0,false,0,0,196,180379
synth-n_1600-m_290831-k_150-p_0.2.txt,1600,290831,-1,150,0,false,0,0,198,180328
synth-n_1600-m_301143-k_200-p_0.2.txt,1600,301143,-1,194,0,false,0,0,322,181605
synth-n_1600-m_68907-k_70-p_0.05.txt,1600,68907,-1,70,0,false,2,0,131,74823
synth-n_1600-m_70865-k_100-p_0.05.txt,1600,70865,-1,100,0,false,3,0,208,107439
synth-n_1600-m_72748-k_120-p_0.05.txt,1600,72748,-1,120,0,false,0,0,304,146690
synth-n_1600-m_74607-k_150-p_0.05.txt,1600,74607,-1,150,0,false,0,0,473,180721
synth-n_1600-m_77345-k_200-p_0.05.txt,1600,77345,-1,198,0,false,0,0,784,180132
synth-n_200-m_1076-k_10-p_0.05.txt,200,1076,-1,10,10,false,200,0,0,0
synth-n_200-m_1167-k_15-p_0.05.txt,200,1167,-1,15,1,false,62,0,49,10
synth-n_200-m_1175-k_20-p_0.05.txt,200,1175,-1,20,0,false,43,0,139,38
synth-n_200-m_1245-k_25-p_0.05.txt,200,1245,-1,24,0,false,48,0,79,23
synth-n_200-m_1266-k_30-p_0.05.txt,200,1266,-1,30,0,false,38,0,6365,1788
synth-n_200-m_1336-k_50-p_0.05.txt,200,1336,-1,44,0,false,15,0,449466,180000
synth-n_200-m_1434-k_70-p_0.05.txt,200,1434,-1,51,0,false,2,0,322476,180000
synth-n_200-m_2169-k_15-p_0.1.txt,200,2169,-1,15,1,false,25,0,25,17
synth-n_200-m_2199-k_10-p_0.1.txt,200,2199,-1,10,0,false,20,0,18,13
synth-n_200-m_2293-k_20-p_0.1.txt,200,2293,-1,20,0,false,12,0,51,44
synth-n_200-m_2369-k_25-p_0.1.txt,200,2369,-1,25,0,false,13,0,46,31
synth-n_200-m_2491-k_30-p_0.1.txt,200,2491,-1,30,0,false,8,0,170,148
synth-n_200-m_2592-k_50-p_0.1.txt,200,2592,-1,50,0,false,1,0,1496,1224
synth-n_200-m_2772-k_70-p_0.1.txt,200,2772,-1,70,0,false,0,0,212817,180000
synth-n_200-m_4301-k_10-p_0.2.txt,200,4301,-1,10,0,false,5,0,18,49
synth-n_200-m_4485-k_20-p_0.2.txt,200,4485,-1,20,0,false,0,0,39,101
synth-n_200-m_4497-k_15-p_0.2.txt,200,4497,-1,15,0,false,4,0,28,82
synth-n_200-m_4763-k_25-p_0.2.txt,200,4763,-1,25,0,false,0,0,81,237
synth-n_200-m_4854-k_30-p_0.2.txt,200,4854,-1,30,0,false,1,0,71,179
synth-n_200-m_5144-k_50-p_0.2.txt,200,5144,-1,50,0,false,0,0,261,490
synth-n_200-m_5366-k_70-p_0.2.txt,200,5366,-1,70,0,false,0,0,3002,4945
synth-n_2000-m_106592-k_70-p_0.05.txt,2000,106592,-1,70,0,false,9,0,198,182676
synth-n_2000-m_108739-k_100-p_0.05.txt,2000,108739,-1,100,0,false,1,0,171,180006
synth-n_2000-m_110886-k_120-p_0.05.txt,2000,110886,-1,120,0,false,2,0,305,181571
synth-n_2000-m_112582-k_150-p_0.05.txt,2000,112582,-1,149,0,false,0,0,306,180199
synth-n_2000-m_117145-k_200-p_0.05.txt,2000,117145,-1,196,0,false,0,0,442,180188
synth-n_2000-m_212793-k_70-p_0.1.txt,2000,212793,-1,70,0,false,0,0,100,180272
synth-n_2000-m_217131-k_100-p_0.1.txt,2000,217131,-1,100,0,false,0,0,182,183213
synth-n_2000-m_220005-k_120-p_0.1.txt,2000,220005,-1,120,0,false,0,0,191,180054
synth-n_2000-m_225391-k_150-p_0.1.txt,2000,225391,-1,150,0,false,0,0,191,180424
synth-n_2000-m_233102-k_200-p_0.1.txt,2000,233102,-1,198,0,false,0,0,301,182024
synth-n_2000-m_422023-k_70-p_0.2.txt,2000,422023,-1,70,0,false,0,0,98,185714
synth-n_2000-m_430943-k_100-p_0.2.txt,2000,430943,-1,100,0,false,0,0,118,191397
synth-n_2000-m_435643-k_120-p_0.2.txt,2000,435643,-1,120,0,false,0,0,139,187049
synth-n_2000-m_444160-k_150-p_0.2.txt,2000,444160,-1,149,0,false,0,0,180,180283
synth-n_2000-m_457573-k_200-p_0.2.txt,2000,457573,-1,198,0,false,0,0,228,183151
synth-n_2300-m_142851-k_100-p_0.05.txt,2300,142851,-1,100,0,false,1,0,143,183878
synth-n_2300-m_144829-k_120-p_0.05.txt,2300,144829,-1,119,0,false,2,0,218,180504
synth-n_2300-m_147738-k_150-p_0.05.txt,2300,147738,-1,150,0,false,1,0,265,183555
synth-n_2300-m_152429-k_200-p_0.05.txt,2300,152429,-1,198,0,false,0,0,304,182058
synth-n_2300-m_284623-k_100-p_0.1.txt,2300,284623,-1,100,0,false,0,0,122,186995
synth-n_2300-m_286796-k_120-p_0.1.txt,2300,286796,-1,120,0,false,0,0,143,180919
synth-n_2300-m_292795-k_150-p_0.1.txt,2300,292795,-1,149,0,false,0,0,175,187109
