name,n,m,k_optimal,k_solved,k_start,verified,pre_removed_nodes,removed_flowers,recursive_steps,millis,packing_millis
synth-n_100-m_263-k_5-p_0.05.txt,99,263,-1,5,5,false,99,0,0,0,0
synth-n_100-m_289-k_10-p_0.05.txt,99,289,-1,4,1,false,86,0,4,0,0
synth-n_100-m_302-k_15-p_0.05.txt,100,302,-1,8,4,false,87,0,2,0,0
synth-n_100-m_332-k_20-p_0.05.txt,100,332,-1,14,3,false,57,0,14,1,0
synth-n_100-m_336-k_30-p_0.05.txt,100,336,-1,15,1,false,42,0,151,18,4
synth-n_100-m_343-k_25-p_0.05.txt,100,343,-1,14,0,false,43,0,83,10,3
synth-n_100-m_515-k_5-p_0.1.txt,100,515,-1,5,0,false,37,0,3,1,0
synth-n_100-m_591-k_15-p_0.1.txt,100,591,-1,15,0,false,17,0,58,11,4
synth-n_100-m_611-k_10-p_0.1.txt,100,611,-1,10,0,false,19,0,8,1,0
synth-n_100-m_628-k_20-p_0.1.txt,100,628,-1,20,0,false,12,0,64,12,3
synth-n_100-m_691-k_25-p_0.1.txt,100,691,-1,25,0,false,3,0,1379,340,108
synth-n_100-m_732-k_30-p_0.1.txt,100,732,-1,30,0,false,1,0,20858,4818,1451
synth-n_1000-m_107005-k_50-p_0.2.txt,1000,107005,-1,50,0,false,0,0,47,6614,726
synth-n_1000-m_110357-k_70-p_0.2.txt,1000,110357,-1,70,0,false,0,0,68,9831,929
synth-n_1000-m_114433-k_100-p_0.2.txt,1000,114433,-1,100,0,false,0,0,98,14351,1163
synth-n_1000-m_116757-k_120-p_0.2.txt,1000,116757,-1,120,0,false,0,0,128,19089,1519
synth-n_1000-m_119520-k_150-p_0.2.txt,1000,119520,-1,150,0,false,0,0,798,148600,31867
synth-n_1000-m_124702-k_200-p_0.2.txt,1000,124702,-1,200,0,false,0,0,1037,176222,26844
synth-n_1000-m_27142-k_50-p_0.05.txt,1000,27142,-1,50,0,false,13,0,44,203,137
synth-n_1000-m_28175-k_70-p_0.05.txt,1000,28175,-1,70,0,false,11,0,101,1701,1085
synth-n_1000-m_29037-k_100-p_0.05.txt,1000,29037,-1,100,0,false,5,0,362,13781,2847
synth-n_1000-m_30042-k_120-p_0.05.txt,1000,30042,-1,120,0,false,0,0,202,9152,1001
synth-n_1000-m_30795-k_150-p_0.05.txt,1000,30795,-1,150,0,false,0,0,566,24724,2630
synth-n_1000-m_32410-k_200-p_0.05.txt,1000,32410,-1,195,0,false,0,0,14208,180000,41616
synth-n_1000-m_54531-k_50-p_0.1.txt,1000,54531,-1,50,0,false,3,0,46,2436,285
synth-n_1000-m_55974-k_70-p_0.1.txt,1000,55974,-1,70,0,false,0,0,61,3953,338
synth-n_1000-m_57929-k_100-p_0.1.txt,1000,57929,-1,100,0,false,0,0,118,10279,1385
synth-n_1000-m_59867-k_120-p_0.1.txt,1000,59867,-1,120,0,false,0,0,276,24209,3986
synth-n_1000-m_60934-k_150-p_0.1.txt,1000,60934,-1,150,0,false,0,0,186,11058,873
synth-n_1000-m_64710-k_200-p_0.1.txt,1000,64710,-1,200,0,false,0,0,1308,78151,15948
synth-n_1300-m_104213-k_200-p_0.1.txt,1300,104213,-1,200,0,false,0,0,624,91333,11830
synth-n_1300-m_178841-k_50-p_0.2.txt,1300,178841,-1,50,0,false,0,0,48,13369,1513
synth-n_1300-m_183367-k_70-p_0.2.txt,1300,183367,-1,70,0,false,0,0,66,18984,1879
synth-n_1300-m_188195-k_100-p_0.2.txt,1300,188195,-1,100,0,false,0,0,109,33874,3188
synth-n_1300-m_191963-k_120-p_0.2.txt,1300,191963,-1,120,0,false,0,0,157,57937,5476
synth-n_1300-m_196174-k_150-p_0.2.txt,1300,196174,-1,150,0,false,0,0,288,126123,25882
synth-n_1300-m_204142-k_200-p_0.2.txt,1300,204142,-1,200,0,false,0,0,604,129947,28163
