name,n,m,k_optimal,k_solved,k_start,verified,pre_removed_nodes,removed_flowers,recursive_steps,millis
synth-n_180-m_3631-k_15-p_0.2.txt,180,3631,15,15,0,true,4,15,1,1033
synth-n_180-m_3690-k_20-p_0.2.txt,180,3690,20,20,0,true,2,12,9,1153
synth-n_180-m_3812-k_25-p_0.2.txt,180,3812,25,25,0,true,0,9,22,1243
synth-n_180-m_4031-k_30-p_0.2.txt,180,4031,30,30,0,true,0,2,49,1382
synth-n_180-m_804-k_2-p_0.05.txt,180,804,2,2,2,true,180,0,0,0
synth-n_180-m_827-k_6-p_0.05.txt,180,827,6,6,6,true,180,0,0,0
synth-n_180-m_855-k_15-p_0.05.txt,180,855,15,15,4,true,113,1,10,38
synth-n_180-m_867-k_8-p_0.05.txt,180,867,8,8,8,true,180,0,0,0
synth-n_180-m_881-k_4-p_0.05.txt,180,881,4,4,4,true,180,0,0,0
synth-n_180-m_895-k_20-p_0.05.txt,180,895,19,19,4,true,77,1,24,138
synth-n_180-m_902-k_10-p_0.05.txt,180,902,10,10,3,true,115,4,4,34
synth-n_20-m_18-k_4-p_0.05.txt,16,18,1,1,1,true,16,0,0,0
synth-n_20-m_20-k_4-p_0.1.txt,16,20,0,0,0,true,16,0,0,0
synth-n_20-m_25-k_2-p_0.1.txt,19,25,1,1,1,true,19,0,0,0
synth-n_20-m_25-k_8-p_0.1.txt,19,25,2,2,2,true,19,0,0,0
synth-n_20-m_38-k_6-p_0.1.txt,19,38,2,2,2,true,19,0,0,0
synth-n_20-m_48-k_2-p_0.2.txt,20,48,2,2,2,true,20,0,0,0
synth-n_20-m_54-k_8-p_0.2.txt,20,54,3,3,3,true,20,0,0,0
synth-n_20-m_58-k_4-p_0.2.txt,19,58,4,4,0,true,9,1,4,0
synth-n_20-m_59-k_6-p_0.2.txt,20,59,3,3,3,true,20,0,0,0
synth-n_20-m_9-k_8-p_0.05.txt,11,9,0,0,0,true,11,0,0,0
synth-n_200-m_1059-k_8-p_0.05.txt,200,1059,8,8,8,true,200,0,0,0
synth-n_200-m_1063-k_2-p_0.05.txt,200,1063,2,2,2,true,200,0,0,0
synth-n_200-m_1075-k_10-p_0.05.txt,200,1075,10,10,1,true,104,5,4,103
synth-n_200-m_1093-k_4-p_0.05.txt,200,1093,4,4,4,true,200,0,0,0
