name,n,m,pre_removed_nodes,k_start,k_optimal,k_solved,num_constraints,verified,millis
synth-n_1600-m_74607-k_150-p_0.05.txt,1600,74607,0,0,-1,0,399,false,90000
synth-n_1600-m_77345-k_200-p_0.05.txt,1600,77345,0,0,-1,0,413,false,90000
synth-n_200-m_1076-k_10-p_0.05.txt,200,1076,200,10,10,10,0,true,0
synth-n_200-m_1167-k_15-p_0.05.txt,200,1167,62,1,15,15,31,true,19
synth-n_200-m_1175-k_20-p_0.05.txt,200,1175,43,0,20,20,44,true,34
synth-n_200-m_1245-k_25-p_0.05.txt,200,1245,48,0,24,24,47,true,45
synth-n_200-m_1266-k_30-p_0.05.txt,200,1266,38,0,30,30,106,true,102
synth-n_200-m_1336-k_50-p_0.05.txt,200,1336,15,0,45,45,372,true,648
synth-n_200-m_1434-k_70-p_0.05.txt,200,1434,2,0,-1,0,1140,false,90000
synth-n_200-m_2169-k_15-p_0.1.txt,200,2169,25,1,15,15,27,true,31
synth-n_200-m_2199-k_10-p_0.1.txt,200,2199,20,0,10,10,20,true,25
synth-n_200-m_2293-k_20-p_0.1.txt,200,2293,12,0,20,20,47,true,95
synth-n_200-m_2369-k_25-p_0.1.txt,200,2369,13,0,25,25,61,true,97
synth-n_200-m_2491-k_30-p_0.1.txt,200,2491,8,0,30,30,185,true,319
synth-n_200-m_2592-k_50-p_0.1.txt,200,2592,1,0,50,50,417,true,699
synth-n_200-m_2772-k_70-p_0.1.txt,200,2772,0,0,70,70,690,true,2906
synth-n_200-m_4301-k_10-p_0.2.txt,200,4301,5,0,10,10,22,true,60
synth-n_200-m_4485-k_20-p_0.2.txt,200,4485,0,0,20,20,310,true,789
synth-n_200-m_4497-k_15-p_0.2.txt,200,4497,4,0,15,15,28,true,74
synth-n_200-m_4763-k_25-p_0.2.txt,200,4763,0,0,25,25,337,true,776
synth-n_200-m_4854-k_30-p_0.2.txt,200,4854,1,0,30,30,183,true,550
synth-n_200-m_5144-k_50-p_0.2.txt,200,5144,0,0,50,50,689,true,1469
