name,n,m,pre_removed_nodes,k_start,k_optimal,k_solved,num_constraints,verified,millis
synth-n_100-m_515-k_5-p_0.1.txt,100,515,37,0,5,5,9,true,3
synth-n_100-m_591-k_15-p_0.1.txt,100,591,17,0,15,15,33,true,10
synth-n_100-m_611-k_10-p_0.1.txt,100,611,19,0,10,10,20,true,6
synth-n_100-m_628-k_20-p_0.1.txt,100,628,12,0,20,20,58,true,20
synth-n_100-m_691-k_25-p_0.1.txt,100,691,3,0,25,25,168,true,78
synth-n_100-m_732-k_30-p_0.1.txt,100,732,1,0,30,30,199,true,166
synth-n_1000-m_107005-k_50-p_0.2.txt,1000,107005,0,0,-1,0,582,false,90000
synth-n_1000-m_110357-k_70-p_0.2.txt,1000,110357,0,0,-1,0,730,false,90000
synth-n_1000-m_114433-k_100-p_0.2.txt,1000,114433,0,0,-1,0,661,false,90000
synth-n_1000-m_116757-k_120-p_0.2.txt,1000,116757,0,0,-1,0,700,false,90000
synth-n_1000-m_119520-k_150-p_0.2.txt,1000,119520,0,0,-1,0,693,false,90000
synth-n_1000-m_124702-k_200-p_0.2.txt,1000,124702,0,0,-1,0,626,false,90000
synth-n_1000-m_27142-k_50-p_0.05.txt,1000,27142,13,0,50,50,107,true,7081
synth-n_1000-m_28175-k_70-p_0.05.txt,1000,28175,11,0,70,70,240,true,16999
synth-n_1000-m_29037-k_100-p_0.05.txt,1000,29037,5,0,100,0,1150,false,90000
synth-n_1000-m_30042-k_120-p_0.05.txt,1000,30042,0,0,120,120,1717,true,71873
synth-n_1000-m_30795-k_150-p_0.05.txt,1000,30795,0,0,150,150,1894,true,79088
synth-n_1000-m_32410-k_200-p_0.05.txt,1000,32410,0,0,-1,0,2461,false,90000
synth-n_1000-m_54531-k_50-p_0.1.txt,1000,54531,3,0,50,50,112,true,12177
synth-n_1000-m_55974-k_70-p_0.1.txt,1000,55974,0,0,70,0,811,false,90000
synth-n_1000-m_57929-k_100-p_0.1.txt,1000,57929,0,0,-1,0,1205,false,90000
synth-n_1000-m_59867-k_120-p_0.1.txt,1000,59867,0,0,-1,0,1485,false,90000
synth-n_1000-m_60934-k_150-p_0.1.txt,1000,60934,0,0,-1,0,1338,false,90000
synth-n_1000-m_64710-k_200-p_0.1.txt,1000,64710,0,0,-1,0,1410,false,90000
synth-n_1300-m_104213-k_200-p_0.1.txt,1300,104213,0,0,-1,0,580,false,90000
synth-n_1300-m_178841-k_50-p_0.2.txt,1300,178841,0,0,-1,0,221,false,90000
synth-n_1300-m_183367-k_70-p_0.2.txt,1300,183367,0,0,-1,0,313,false,90000
synth-n_1300-m_188195-k_100-p_0.2.txt,1300,188195,0,0,-1,0,309,false,90000
synth-n_1300-m_191963-k_120-p_0.2.txt,1300,191963,0,0,-1,0,299,false,90000
synth-n_1300-m_196174-k_150-p_0.2.txt,1300,196174,0,0,-1,0,288,false,90000
synth-n_1300-m_204142-k_200-p_0.2.txt,1300,204142,0,0,-1,0,256,false,90000
synth-n_1300-m_45241-k_50-p_0.05.txt,1300,45241,9,0,50,50,103,true,14508
synth-n_1300-m_46137-k_70-p_0.05.txt,1300,46137,10,0,70,0,410,false,90000
synth-n_1300-m_47847-k_100-p_0.05.txt,1300,47847,2,0,-1,100,288,true,38490
synth-n_1300-m_49172-k_120-p_0.05.txt,1300,49172,0,0,-1,0,763,false,90000
synth-n_1300-m_50340-k_150-p_0.05.txt,1300,50340,0,0,-1,0,840,false,90000
synth-n_1300-m_52952-k_200-p_0.05.txt,1300,52952,1,0,-1,0,858,false,90000
synth-n_1300-m_89669-k_50-p_0.1.txt,1300,89669,2,0,-1,50,125,true,27379
synth-n_1300-m_92255-k_70-p_0.1.txt,1300,92255,1,0,-1,70,194,true,39803
synth-n_1300-m_95352-k_100-p_0.1.txt,1300,95352,0,0,-1,0,534,false,90000
