name,k_optimal,k_solved,millis,verified
synth-n_250-m_1916-k_30-p_0.05.txt,30,0,180000,false
synth-n_250-m_3124-k_4-p_0.1.txt,4,4,107,true
synth-n_250-m_3161-k_2-p_0.1.txt,2,2,98,true
synth-n_250-m_3199-k_8-p_0.1.txt,8,8,1278,true
synth-n_250-m_3249-k_6-p_0.1.txt,6,6,460,true
synth-n_250-m_3387-k_10-p_0.1.txt,10,10,6383,true
synth-n_250-m_3436-k_15-p_0.1.txt,15,0,180000,false
synth-n_250-m_3475-k_20-p_0.1.txt,20,0,180000,false
synth-n_250-m_3612-k_25-p_0.1.txt,25,0,180000,false
synth-n_250-m_3681-k_30-p_0.1.txt,30,0,180000,false
synth-n_250-m_6262-k_2-p_0.2.txt,2,2,401,true
synth-n_250-m_6353-k_4-p_0.2.txt,4,4,748,true
synth-n_250-m_6493-k_6-p_0.2.txt,6,6,790,true
synth-n_250-m_6538-k_8-p_0.2.txt,8,8,2075,true
synth-n_250-m_6557-k_10-p_0.2.txt,10,10,10413,true
synth-n_250-m_6833-k_15-p_0.2.txt,15,0,180000,false
synth-n_250-m_7048-k_20-p_0.2.txt,20,0,180000,false
synth-n_250-m_7157-k_25-p_0.2.txt,25,0,180000,false
synth-n_250-m_7252-k_30-p_0.2.txt,30,0,180000,false
synth-n_275-m_1895-k_2-p_0.05.txt,2,2,18,true
synth-n_275-m_1958-k_4-p_0.05.txt,4,4,63,true
synth-n_275-m_2019-k_8-p_0.05.txt,8,8,2543,true
synth-n_275-m_2025-k_6-p_0.05.txt,6,6,309,true
synth-n_275-m_2051-k_10-p_0.05.txt,10,10,14708,true
synth-n_275-m_2121-k_25-p_0.05.txt,25,0,180000,false
synth-n_275-m_2122-k_15-p_0.05.txt,15,0,180000,false
synth-n_275-m_2130-k_20-p_0.05.txt,20,0,180000,false
synth-n_275-m_2220-k_30-p_0.05.txt,30,0,180000,false
synth-n_275-m_3808-k_2-p_0.1.txt,2,2,144,true
synth-n_275-m_3815-k_6-p_0.1.txt,6,6,266,true
synth-n_275-m_3851-k_4-p_0.1.txt,4,4,255,true
synth-n_275-m_3928-k_10-p_0.1.txt,10,10,15187,true
synth-n_275-m_3928-k_8-p_0.1.txt,8,8,2163,true
synth-n_275-m_4227-k_15-p_0.1.txt,15,0,180000,false
synth-n_275-m_4276-k_20-p_0.1.txt,20,0,180000,false
synth-n_275-m_4371-k_30-p_0.1.txt,30,0,180000,false
synth-n_275-m_4399-k_25-p_0.1.txt,25,0,180000,false
synth-n_275-m_7607-k_2-p_0.2.txt,2,2,942,true
synth-n_275-m_7697-k_4-p_0.2.txt,4,4,1109,true
synth-n_275-m_7718-k_8-p_0.2.txt,8,8,2936,true
synth-n_275-m_7787-k_6-p_0.2.txt,6,6,1303,true
synth-n_275-m_7982-k_10-p_0.2.txt,10,10,15553,true
synth-n_275-m_8114-k_15-p_0.2.txt,15,0,180000,false
synth-n_275-m_8401-k_20-p_0.2.txt,20,0,180000,false
synth-n_275-m_8453-k_25-p_0.2.txt,25,0,180000,false
synth-n_275-m_8461-k_30-p_0.2.txt,30,0,180000,false
synth-n_30-m_111-k_8-p_0.2.txt,7,7,5,true
synth-n_30-m_114-k_6-p_0.2.txt,5,5,0,true
synth-n_30-m_117-k_10-p_0.2.txt,7,7,4,true
synth-n_30-m_25-k_2-p_0.05.txt,0,0,0,true
synth-n_30-m_28-k_4-p_0.05.txt,2,2,0,true
synth-n_30-m_28-k_6-p_0.05.txt,1,1,0,true
synth-n_30-m_28-k_8-p_0.05.txt,1,1,0,true
synth-n_30-m_35-k_10-p_0.05.txt,0,0,0,true
synth-n_30-m_55-k_4-p_0.1.txt,2,2,0,true
synth-n_30-m_58-k_6-p_0.1.txt,2,2,0,true
synth-n_30-m_60-k_2-p_0.1.txt,1,1,0,true
synth-n_30-m_64-k_8-p_0.1.txt,3,3,0,true
synth-n_30-m_73-k_10-p_0.1.txt,4,4,0,true
synth-n_30-m_97-k_2-p_0.2.txt,2,2,0,true
