name,n,m,k_optimal,k_solved,k_start,verified,pre_removed_nodes,packing_size,heuristic_size,packing_millis,millis,recursive_steps
synth-n_150-m_1385-k_25-p_0.1.txt,150,1385,25,25,0,true,9,25,25,2,11,0
synth-n_150-m_1423-k_30-p_0.1.txt,150,1423,30,30,0,true,8,29,30,9,1017,26
synth-n_150-m_1561-k_70-p_0.1.txt,150,1561,-1,73,0,false,1,43,74,54010,90001,515340
synth-n_150-m_1564-k_50-p_0.1.txt,150,1564,48,48,0,true,0,41,50,715,2608,6586
synth-n_150-m_2446-k_10-p_0.2.txt,150,2446,10,10,0,true,6,10,10,3,6,0
synth-n_150-m_2502-k_15-p_0.2.txt,150,2502,15,15,0,true,3,15,15,3,7,0
synth-n_150-m_2552-k_20-p_0.2.txt,150,2552,20,20,0,true,2,20,20,3,10,0
synth-n_150-m_2731-k_25-p_0.2.txt,150,2731,25,25,0,true,1,25,25,3,18,0
synth-n_150-m_2807-k_30-p_0.2.txt,150,2807,30,30,0,true,0,30,30,3,14,0
synth-n_150-m_3040-k_50-p_0.2.txt,150,3040,50,50,0,true,0,47,50,15,1044,78
synth-n_150-m_3050-k_70-p_0.2.txt,150,3050,70,69,0,false,0,48,73,20769,90001,284335
synth-n_150-m_630-k_15-p_0.05.txt,150,630,15,15,1,true,74,12,14,4,1007,15
synth-n_150-m_634-k_10-p_0.05.txt,150,634,7,7,7,true,150,0,0,0,1,0
synth-n_150-m_666-k_20-p_0.05.txt,150,666,15,15,1,true,56,14,14,1,3,0
synth-n_150-m_704-k_25-p_0.05.txt,150,704,23,23,1,true,48,20,22,2,1006,17
synth-n_150-m_781-k_50-p_0.05.txt,150,781,32,32,0,true,25,25,32,1127,2889,9794
synth-n_150-m_782-k_30-p_0.05.txt,150,782,28,28,1,true,29,22,27,155,1282,1194
synth-n_150-m_805-k_70-p_0.05.txt,150,805,43,44,0,false,12,29,45,65343,90001,451037
synth-n_1600-m_137884-k_70-p_0.1.txt,1600,137884,70,70,0,true,0,70,70,2595,3373,0
synth-n_1600-m_141523-k_100-p_0.1.txt,1600,141523,100,100,0,true,0,100,100,2166,3031,0
synth-n_1600-m_143789-k_120-p_0.1.txt,1600,143789,120,120,0,true,0,120,120,2010,3141,0
synth-n_1600-m_147721-k_150-p_0.1.txt,1600,147721,150,150,0,true,0,150,150,1806,2910,0
synth-n_1600-m_152838-k_200-p_0.1.txt,1600,152838,200,200,0,true,0,200,200,1605,2913,0
synth-n_1600-m_273042-k_70-p_0.2.txt,1600,273042,70,70,0,true,0,70,70,4259,6224,0
synth-n_1600-m_279359-k_100-p_0.2.txt,1600,279359,100,100,0,true,0,100,100,4144,6592,0
synth-n_1600-m_284773-k_120-p_0.2.txt,1600,284773,120,120,0,true,0,120,120,3797,6358,0
