name,n,m,pre_removed_nodes,k_start,k_optimal,k_solved,num_constraints,verified,millis
synth-n_1000-m_54531-k_50-p_0.1.txt,1000,54531,3,0,50,0,54422,false,90000
synth-n_1000-m_55974-k_70-p_0.1.txt,1000,55974,0,0,70,0,55974,false,90000
synth-n_1000-m_57929-k_100-p_0.1.txt,1000,57929,0,0,-1,0,57929,false,90000
synth-n_1000-m_59867-k_120-p_0.1.txt,1000,59867,0,0,-1,0,59867,false,90000
synth-n_1000-m_60934-k_150-p_0.1.txt,1000,60934,0,0,-1,0,60934,false,90000
synth-n_1000-m_64710-k_200-p_0.1.txt,1000,64710,0,0,-1,0,64710,false,90000
synth-n_1300-m_104213-k_200-p_0.1.txt,1300,104213,0,0,-1,0,104213,false,90000
synth-n_1300-m_178841-k_50-p_0.2.txt,1300,178841,0,0,-1,0,178841,false,90000
synth-n_1300-m_183367-k_70-p_0.2.txt,1300,183367,0,0,-1,0,183367,false,90000
synth-n_1300-m_188195-k_100-p_0.2.txt,1300,188195,0,0,-1,0,188195,false,90000
synth-n_1300-m_191963-k_120-p_0.2.txt,1300,191963,0,0,-1,0,191963,false,90000
synth-n_1300-m_196174-k_150-p_0.2.txt,1300,196174,0,0,-1,0,196174,false,90000
synth-n_1300-m_204142-k_200-p_0.2.txt,1300,204142,0,0,-1,0,204142,false,90000
synth-n_1300-m_45241-k_50-p_0.05.txt,1300,45241,9,0,50,50,45070,true,16110
synth-n_1300-m_46137-k_70-p_0.05.txt,1300,46137,10,0,70,70,45906,true,35898
synth-n_1300-m_47847-k_100-p_0.05.txt,1300,47847,2,0,-1,0,47841,false,90000
synth-n_1300-m_49172-k_120-p_0.05.txt,1300,49172,0,0,-1,0,49172,false,90000
synth-n_1300-m_50340-k_150-p_0.05.txt,1300,50340,0,0,-1,0,50340,false,90000
synth-n_1300-m_52952-k_200-p_0.05.txt,1300,52952,1,0,-1,0,52945,false,90000
synth-n_1300-m_89669-k_50-p_0.1.txt,1300,89669,2,0,-1,0,89646,false,90000
