name,n,m,pre_removed_nodes,k_start,k_optimal,k_solved,num_constraints,verified,millis
synth-n_1000-m_64710-k_200-p_0.1.txt,1000,64710,0,0,-1,0,949,false,90000
synth-n_1300-m_104213-k_200-p_0.1.txt,1300,104213,0,0,-1,0,366,false,90000
synth-n_1300-m_178841-k_50-p_0.2.txt,1300,178841,0,0,-1,0,159,false,90000
synth-n_1300-m_183367-k_70-p_0.2.txt,1300,183367,0,0,-1,0,188,false,90000
synth-n_1300-m_188195-k_100-p_0.2.txt,1300,188195,0,0,-1,0,191,false,90000
synth-n_1300-m_191963-k_120-p_0.2.txt,1300,191963,0,0,-1,0,174,false,90000
synth-n_1300-m_196174-k_150-p_0.2.txt,1300,196174,0,0,-1,0,167,false,90000
synth-n_1300-m_204142-k_200-p_0.2.txt,1300,204142,0,0,-1,0,160,false,90000
synth-n_1300-m_45241-k_50-p_0.05.txt,1300,45241,0,0,50,50,107,true,20284
synth-n_1300-m_46137-k_70-p_0.05.txt,1300,46137,0,0,70,70,192,true,34451
synth-n_1300-m_47847-k_100-p_0.05.txt,1300,47847,0,0,-1,100,312,true,49686
synth-n_1300-m_49172-k_120-p_0.05.txt,1300,49172,0,0,-1,0,607,false,90000
synth-n_1300-m_50340-k_150-p_0.05.txt,1300,50340,0,0,-1,0,638,false,90000
synth-n_1300-m_52952-k_200-p_0.05.txt,1300,52952,0,0,-1,0,678,false,90000
synth-n_1300-m_89669-k_50-p_0.1.txt,1300,89669,0,0,-1,50,137,true,40357
synth-n_1300-m_92255-k_70-p_0.1.txt,1300,92255,0,0,-1,70,207,true,57661
synth-n_1300-m_95352-k_100-p_0.1.txt,1300,95352,0,0,-1,0,375,false,90000
synth-n_1300-m_97421-k_120-p_0.1.txt,1300,97421,0,0,-1,0,418,false,90000
synth-n_1300-m_99879-k_150-p_0.1.txt,1300,99879,0,0,-1,0,435,false,90000
synth-n_150-m_1254-k_10-p_0.1.txt,150,1254,0,0,10,10,19,true,24
synth-n_150-m_1269-k_15-p_0.1.txt,150,1269,0,0,15,15,34,true,47
synth-n_150-m_1284-k_20-p_0.1.txt,150,1284,0,0,20,20,63,true,58
synth-n_150-m_1385-k_25-p_0.1.txt,150,1385,0,0,25,25,67,true,68
