name,n,m,pre_removed_nodes,k_start,k_optimal,k_solved,num_constraints,verified,millis
synth-n_1000-m_30795-k_150-p_0.05.txt,1000,30795,0,0,150,150,31938,true,7783
synth-n_1000-m_32410-k_200-p_0.05.txt,1000,32410,0,0,-1,200,33592,true,9180
synth-n_1000-m_54531-k_50-p_0.1.txt,1000,54531,3,0,50,50,55469,true,7183
synth-n_1000-m_55974-k_70-p_0.1.txt,1000,55974,0,0,70,70,57044,true,10451
synth-n_1000-m_57929-k_100-p_0.1.txt,1000,57929,0,0,-1,100,59026,true,11349
synth-n_1000-m_59867-k_120-p_0.1.txt,1000,59867,0,0,-1,120,60981,true,13511
synth-n_1000-m_60934-k_150-p_0.1.txt,1000,60934,0,0,-1,150,62079,true,15070
synth-n_1000-m_64710-k_200-p_0.1.txt,1000,64710,0,0,-1,200,65899,true,16663
synth-n_1300-m_104213-k_200-p_0.1.txt,1300,104213,0,0,-1,200,105702,true,8698
synth-n_1300-m_178841-k_50-p_0.2.txt,1300,178841,0,0,-1,50,180190,true,2882
synth-n_1300-m_183367-k_70-p_0.2.txt,1300,183367,0,0,-1,70,184737,true,3072
synth-n_1300-m_188195-k_100-p_0.2.txt,1300,188195,0,0,-1,100,189593,true,3189
synth-n_1300-m_191963-k_120-p_0.2.txt,1300,191963,0,0,-1,120,193381,true,3864
synth-n_1300-m_196174-k_150-p_0.2.txt,1300,196174,0,0,-1,150,197622,true,8910
synth-n_1300-m_204142-k_200-p_0.2.txt,1300,204142,0,0,-1,200,205636,true,21849
synth-n_1300-m_45241-k_50-p_0.05.txt,1300,45241,9,0,50,50,46409,true,1146
synth-n_1300-m_46137-k_70-p_0.05.txt,1300,46137,10,0,70,70,47266,true,1349
synth-n_1300-m_47847-k_100-p_0.05.txt,1300,47847,2,0,-1,100,49238,true,2798
synth-n_1300-m_49172-k_120-p_0.05.txt,1300,49172,0,0,-1,120,50589,true,3142
synth-n_1300-m_50340-k_150-p_0.05.txt,1300,50340,0,0,-1,150,51783,true,9772
synth-n_1300-m_52952-k_200-p_0.05.txt,1300,52952,1,0,-1,200,54435,true,9359
