name,n,m,pre_removed_nodes,k_start,k_optimal,k_solved,num_constraints,verified,millis
synth-n_100-m_1229-k_20-p_0.2.txt,100,1229,0,0,20,20,1248,true,62
synth-n_100-m_1263-k_25-p_0.2.txt,100,1263,0,0,25,25,1282,true,136
synth-n_100-m_1275-k_30-p_0.2.txt,100,1275,0,0,30,30,1295,true,1779
synth-n_100-m_263-k_5-p_0.05.txt,99,263,99,5,5,5,0,true,0
synth-n_100-m_289-k_10-p_0.05.txt,99,289,86,1,4,4,48,true,6
synth-n_100-m_302-k_15-p_0.05.txt,100,302,87,4,8,8,46,true,4
synth-n_100-m_332-k_20-p_0.05.txt,100,332,57,3,14,14,194,true,35
synth-n_100-m_336-k_30-p_0.05.txt,100,336,42,1,15,15,237,true,62
synth-n_100-m_343-k_25-p_0.05.txt,100,343,43,0,14,14,254,true,53
synth-n_100-m_515-k_5-p_0.1.txt,100,515,37,0,5,5,369,true,19
synth-n_100-m_591-k_15-p_0.1.txt,100,591,17,0,15,15,544,true,73
synth-n_100-m_611-k_10-p_0.1.txt,100,611,19,0,10,10,537,true,16
synth-n_100-m_628-k_20-p_0.1.txt,100,628,12,0,20,20,580,true,768
synth-n_100-m_691-k_25-p_0.1.txt,100,691,3,0,25,25,703,true,1521
synth-n_100-m_732-k_30-p_0.1.txt,100,732,1,0,30,30,751,true,5178
synth-n_1000-m_107005-k_50-p_0.2.txt,1000,107005,0,0,-1,50,107032,true,9086
synth-n_1000-m_110357-k_70-p_0.2.txt,1000,110357,0,0,-1,70,110396,true,13091
synth-n_1000-m_114433-k_100-p_0.2.txt,1000,114433,0,0,-1,100,114486,true,30578
synth-n_1000-m_116757-k_120-p_0.2.txt,1000,116757,0,0,-1,120,116820,true,58037
synth-n_1000-m_119520-k_150-p_0.2.txt,1000,119520,0,0,-1,150,119597,false,90000
synth-n_1000-m_124702-k_200-p_0.2.txt,1000,124702,0,0,-1,0,124801,false,90000
synth-n_1000-m_27142-k_50-p_0.05.txt,1000,27142,13,0,50,50,26993,true,2176
synth-n_1000-m_28175-k_70-p_0.05.txt,1000,28175,11,0,70,70,28140,true,5369
synth-n_1000-m_29037-k_100-p_0.05.txt,1000,29037,5,0,100,100,29066,true,9525
synth-n_1000-m_30042-k_120-p_0.05.txt,1000,30042,0,0,120,120,30161,true,5756
synth-n_1000-m_30795-k_150-p_0.05.txt,1000,30795,0,0,150,150,30936,true,8272
synth-n_1000-m_32410-k_200-p_0.05.txt,1000,32410,0,0,-1,200,32587,true,23178
synth-n_1000-m_54531-k_50-p_0.1.txt,1000,54531,3,0,50,50,54464,true,12849
synth-n_1000-m_55974-k_70-p_0.1.txt,1000,55974,0,0,70,70,56028,true,6238
synth-n_1000-m_57929-k_100-p_0.1.txt,1000,57929,0,0,-1,100,58002,true,12223
synth-n_1000-m_59867-k_120-p_0.1.txt,1000,59867,0,0,-1,0,59952,false,90000
synth-n_1000-m_60934-k_150-p_0.1.txt,1000,60934,0,0,-1,150,61045,true,19081
synth-n_1000-m_64710-k_200-p_0.1.txt,1000,64710,0,0,-1,0,64850,false,90000
synth-n_1300-m_104213-k_200-p_0.1.txt,1300,104213,0,0,-1,0,104344,false,90000
synth-n_1300-m_178841-k_50-p_0.2.txt,1300,178841,0,0,-1,50,178868,true,13242
synth-n_1300-m_183367-k_70-p_0.2.txt,1300,183367,0,0,-1,70,183405,true,36612
synth-n_1300-m_188195-k_100-p_0.2.txt,1300,188195,0,0,-1,0,188247,false,90000
synth-n_1300-m_191963-k_120-p_0.2.txt,1300,191963,0,0,-1,0,192025,false,90000
synth-n_1300-m_196174-k_150-p_0.2.txt,1300,196174,0,0,-1,0,196250,false,90000
synth-n_1300-m_204142-k_200-p_0.2.txt,1300,204142,0,0,-1,0,204242,false,90000
synth-n_1300-m_45241-k_50-p_0.05.txt,1300,45241,9,0,50,50,45116,true,9193
synth-n_1300-m_46137-k_70-p_0.05.txt,1300,46137,10,0,70,70,45976,true,2370
synth-n_1300-m_47847-k_100-p_0.05.txt,1300,47847,2,0,-1,100,47939,true,10531
synth-n_1300-m_49172-k_120-p_0.05.txt,1300,49172,0,0,-1,120,49284,true,8287
synth-n_1300-m_50340-k_150-p_0.05.txt,1300,50340,0,0,-1,150,50481,true,12734
synth-n_1300-m_52952-k_200-p_0.05.txt,1300,52952,1,0,-1,0,53130,false,90000
synth-n_1300-m_89669-k_50-p_0.1.txt,1300,89669,2,0,-1,50,89685,true,13476
synth-n_1300-m_92255-k_70-p_0.1.txt,1300,92255,1,0,-1,70,92292,true,7467
synth-n_1300-m_95352-k_100-p_0.1.txt,1300,95352,0,0,-1,100,95423,true,17967
synth-n_1300-m_97421-k_120-p_0.1.txt,1300,97421,0,0,-1,120,97505,true,11726
synth-n_1300-m_99879-k_150-p_0.1.txt,1300,99879,0,0,-1,0,99979,false,90000
synth-n_150-m_1254-k_10-p_0.1.txt,150,1254,32,0,10,10,1047,true,25
synth-n_150-m_1269-k_15-p_0.1.txt,150,1269,31,2,15,15,1008,true,82
synth-n_150-m_1284-k_20-p_0.1.txt,150,1284,16,0,20,20,1217,true,77
synth-n_150-m_1385-k_25-p_0.1.txt,150,1385,9,0,25,25,1368,true,127
synth-n_150-m_1423-k_30-p_0.1.txt,150,1423,8,0,30,30,1413,true,191
synth-n_150-m_1561-k_70-p_0.1.txt,150,1561,1,0,-1,0,1597,false,90000
synth-n_150-m_1564-k_50-p_0.1.txt,150,1564,0,0,-1,48,1599,true,20240
synth-n_150-m_2446-k_10-p_0.2.txt,150,2446,6,0,10,10,2332,true,40
synth-n_150-m_2502-k_15-p_0.2.txt,150,2502,3,0,15,15,2498,true,79
synth-n_150-m_2552-k_20-p_0.2.txt,150,2552,2,0,20,20,2549,true,274
synth-n_150-m_2731-k_25-p_0.2.txt,150,2731,1,0,25,25,2748,true,99
synth-n_150-m_2807-k_30-p_0.2.txt,150,2807,0,0,30,30,2829,true,301
synth-n_150-m_3040-k_50-p_0.2.txt,150,3040,0,0,50,50,3070,true,5886
synth-n_150-m_3050-k_70-p_0.2.txt,150,3050,0,0,-1,0,3085,false,90000
synth-n_150-m_630-k_15-p_0.05.txt,150,630,74,1,15,15,395,true,26
synth-n_150-m_634-k_10-p_0.05.txt,150,634,150,7,7,7,0,true,0
synth-n_150-m_666-k_20-p_0.05.txt,150,666,56,1,15,15,507,true,34
synth-n_150-m_704-k_25-p_0.05.txt,150,704,48,1,23,23,560,true,159
synth-n_150-m_781-k_50-p_0.05.txt,150,781,25,0,32,32,749,true,8278
synth-n_150-m_782-k_30-p_0.05.txt,150,782,29,1,28,28,705,true,2098
synth-n_150-m_805-k_70-p_0.05.txt,150,805,12,0,43,0,803,false,90000
