name,k_optimal,k_solved,millis,verified,recursive_steps
synth-n_225-m_5365-k_10-p_0.2.txt,10,10,974,true,1
synth-n_225-m_5504-k_15-p_0.2.txt,15,15,1193,true,1
synth-n_225-m_5734-k_20-p_0.2.txt,20,20,1414,true,2
synth-n_225-m_5854-k_25-p_0.2.txt,25,25,1710,true,1850
synth-n_225-m_5936-k_30-p_0.2.txt,30,30,78052,true,1022562
synth-n_250-m_1512-k_2-p_0.05.txt,2,2,46,true,1
synth-n_250-m_1569-k_4-p_0.05.txt,4,4,220,true,1
synth-n_250-m_1575-k_6-p_0.05.txt,6,6,149,true,27
synth-n_250-m_1667-k_8-p_0.05.txt,8,8,373,true,35
synth-n_250-m_1694-k_10-p_0.05.txt,10,10,1068,true,3002
synth-n_250-m_1710-k_15-p_0.05.txt,15,0,180000,false,1824828
synth-n_250-m_1757-k_20-p_0.05.txt,20,0,180000,false,2247829
synth-n_250-m_1814-k_25-p_0.05.txt,25,0,180000,false,3273584
synth-n_250-m_1916-k_30-p_0.05.txt,30,0,180000,false,2200692
synth-n_250-m_3124-k_4-p_0.1.txt,4,4,466,true,1
synth-n_250-m_3161-k_2-p_0.1.txt,2,2,248,true,1
synth-n_250-m_3199-k_8-p_0.1.txt,8,8,664,true,1
synth-n_250-m_3249-k_6-p_0.1.txt,6,6,620,true,1
synth-n_250-m_3387-k_10-p_0.1.txt,10,10,904,true,1
synth-n_250-m_3436-k_15-p_0.1.txt,15,15,1408,true,1473
synth-n_250-m_3475-k_20-p_0.1.txt,20,20,93889,true,761012
synth-n_250-m_3612-k_25-p_0.1.txt,25,0,180000,false,2117623
synth-n_250-m_3681-k_30-p_0.1.txt,30,0,180000,false,2400878
synth-n_250-m_6262-k_2-p_0.2.txt,2,2,419,true,1
synth-n_250-m_6353-k_4-p_0.2.txt,4,4,736,true,1
synth-n_250-m_6493-k_6-p_0.2.txt,6,6,917,true,1
synth-n_250-m_6538-k_8-p_0.2.txt,8,8,1129,true,1
synth-n_250-m_6557-k_10-p_0.2.txt,10,10,1309,true,1
synth-n_250-m_6833-k_15-p_0.2.txt,15,15,1755,true,1
synth-n_250-m_7048-k_20-p_0.2.txt,20,20,1996,true,1
synth-n_250-m_7157-k_25-p_0.2.txt,25,25,2331,true,435
synth-n_250-m_7252-k_30-p_0.2.txt,30,30,6405,true,35828
synth-n_275-m_1895-k_2-p_0.05.txt,2,2,144,true,1
synth-n_275-m_1958-k_4-p_0.05.txt,4,4,269,true,1
