name,n,m,k_optimal,k_solved,millis,verified,recursive_steps,k_start,pre_deleted_nodes,flower_deleted_nodes
synth-n_160-m_2705-k_6-p_0.2.txt,160,2705,6,6,290,true,1,0,7,6
synth-n_160-m_2720-k_10-p_0.2.txt,160,2720,10,10,343,true,1,0,10,10
synth-n_160-m_2776-k_8-p_0.2.txt,160,2776,8,8,305,true,1,0,13,8
synth-n_160-m_2910-k_15-p_0.2.txt,160,2910,15,15,500,true,9,0,3,13
synth-n_160-m_3006-k_20-p_0.2.txt,160,3006,20,20,984,true,1875,0,2,10
synth-n_160-m_3034-k_25-p_0.2.txt,160,3034,25,25,18712,true,149034,0,2,4
synth-n_160-m_3134-k_30-p_0.2.txt,160,3134,30,0,180000,false,1672432,0,0,0
synth-n_160-m_641-k_2-p_0.05.txt,160,641,2,2,3,true,0,2,160,0
synth-n_160-m_663-k_4-p_0.05.txt,160,663,4,4,3,true,0,4,160,0
synth-n_160-m_683-k_8-p_0.05.txt,160,683,6,6,10,true,3,1,115,4
synth-n_160-m_693-k_6-p_0.05.txt,160,693,6,6,3,true,0,6,160,0
synth-n_160-m_731-k_10-p_0.05.txt,160,731,10,10,101,true,492,0,73,3
synth-n_160-m_743-k_20-p_0.05.txt,160,743,19,19,42651,true,462841,1,63,1
synth-n_160-m_746-k_15-p_0.05.txt,160,746,14,14,5707,true,46258,2,73,0
synth-n_160-m_800-k_30-p_0.05.txt,160,800,27,1,180000,false,1678041,1,36,0
synth-n_160-m_810-k_25-p_0.05.txt,160,810,25,0,180000,false,2089869,0,44,0
synth-n_180-m_1022-k_30-p_0.05.txt,180,1022,29,1,180000,false,1638258,1,40,0
synth-n_180-m_1057-k_25-p_0.05.txt,180,1057,22,0,180000,false,1530159,0,41,0
synth-n_180-m_1627-k_4-p_0.1.txt,180,1627,4,4,7,true,0,4,180,0
synth-n_180-m_1658-k_2-p_0.1.txt,180,1658,2,2,7,true,0,2,180,0
synth-n_180-m_1683-k_6-p_0.1.txt,180,1683,6,6,127,true,1,2,52,4
synth-n_180-m_1717-k_8-p_0.1.txt,180,1717,8,8,6,true,0,8,180,0
synth-n_180-m_1738-k_10-p_0.1.txt,180,1738,10,10,256,true,8,0,27,8
synth-n_180-m_1958-k_15-p_0.1.txt,180,1958,15,15,497,true,495,1,18,7
synth-n_180-m_1962-k_25-p_0.1.txt,180,1962,25,0,180000,false,1473687,0,7,0
synth-n_180-m_1968-k_20-p_0.1.txt,180,1968,20,20,31365,true,172396,0,4,3
synth-n_180-m_2037-k_30-p_0.1.txt,180,2037,30,0,180000,false,1749676,0,5,0
synth-n_180-m_3254-k_2-p_0.2.txt,180,3254,2,2,13,true,0,2,180,0
synth-n_180-m_3302-k_4-p_0.2.txt,180,3302,4,4,13,true,0,4,180,0
synth-n_180-m_3396-k_8-p_0.2.txt,180,3396,8,8,415,true,1,1,13,7
synth-n_180-m_3408-k_6-p_0.2.txt,180,3408,6,6,382,true,1,0,11,6
synth-n_180-m_3481-k_10-p_0.2.txt,180,3481,10,10,549,true,1,0,10,10
synth-n_180-m_3631-k_15-p_0.2.txt,180,3631,15,15,700,true,1,0,4,15
synth-n_180-m_3690-k_20-p_0.2.txt,180,3690,20,20,1065,true,846,0,2,12
synth-n_180-m_3812-k_25-p_0.2.txt,180,3812,25,25,9888,true,51415,0,0,9
synth-n_180-m_4031-k_30-p_0.2.txt,180,4031,30,0,180000,false,1398003,0,0,0
synth-n_180-m_804-k_2-p_0.05.txt,180,804,2,2,4,true,0,2,180,0
synth-n_180-m_827-k_6-p_0.05.txt,180,827,6,6,5,true,0,6,180,0
synth-n_180-m_855-k_15-p_0.05.txt,180,855,15,15,51,true,455,4,113,1
synth-n_180-m_867-k_8-p_0.05.txt,180,867,8,8,4,true,0,8,180,0
synth-n_180-m_881-k_4-p_0.05.txt,180,881,4,4,4,true,0,4,180,0
synth-n_180-m_895-k_20-p_0.05.txt,180,895,19,19,3298,true,30322,4,77,1
synth-n_180-m_902-k_10-p_0.05.txt,180,902,10,10,29,true,49,3,115,4
synth-n_20-m_18-k_4-p_0.05.txt,16,18,1,1,0,true,0,1,16,0
synth-n_20-m_20-k_4-p_0.1.txt,16,20,0,0,0,true,0,0,16,0
synth-n_20-m_25-k_2-p_0.1.txt,19,25,1,1,0,true,0,1,19,0
synth-n_20-m_25-k_8-p_0.1.txt,19,25,2,2,0,true,0,2,19,0
synth-n_20-m_38-k_6-p_0.1.txt,19,38,2,2,0,true,0,2,19,0
synth-n_20-m_48-k_2-p_0.2.txt,20,48,2,2,0,true,0,2,20,0
synth-n_20-m_54-k_8-p_0.2.txt,20,54,3,3,0,true,0,3,20,0
synth-n_20-m_58-k_4-p_0.2.txt,19,58,4,4,0,true,7,0,9,1
synth-n_20-m_59-k_6-p_0.2.txt,20,59,3,3,0,true,0,3,20,0
synth-n_20-m_9-k_8-p_0.05.txt,11,9,0,0,0,true,0,0,11,0
synth-n_200-m_1059-k_8-p_0.05.txt,200,1059,8,8,6,true,0,8,200,0
synth-n_200-m_1063-k_2-p_0.05.txt,200,1063,2,2,6,true,0,2,200,0
synth-n_200-m_1075-k_10-p_0.05.txt,200,1075,10,10,69,true,87,1,104,5
synth-n_200-m_1093-k_4-p_0.05.txt,200,1093,4,4,9,true,0,4,200,0
synth-n_200-m_1096-k_6-p_0.05.txt,200,1096,6,6,9,true,0,6,200,0
synth-n_200-m_1115-k_15-p_0.05.txt,200,1115,15,15,9739,true,62936,0,70,1
synth-n_200-m_1151-k_25-p_0.05.txt,200,1151,25,0,180000,false,1439933,0,57,0
synth-n_200-m_1172-k_20-p_0.05.txt,200,1172,20,20,43125,true,282285,2,71,1
synth-n_200-m_1319-k_30-p_0.05.txt,200,1319,30,0,180000,false,1548063,0,30,0
synth-n_200-m_2075-k_10-p_0.1.txt,200,2075,10,10,333,true,3,1,36,8
synth-n_200-m_2076-k_6-p_0.1.txt,200,2076,6,6,11,true,0,6,200,0
synth-n_200-m_2088-k_4-p_0.1.txt,200,2088,4,4,11,true,0,4,200,0
synth-n_200-m_2096-k_2-p_0.1.txt,200,2096,2,2,11,true,0,2,200,0
synth-n_200-m_2119-k_8-p_0.1.txt,200,2119,8,8,208,true,1,2,55,6
synth-n_200-m_2270-k_20-p_0.1.txt,200,2270,20,20,46078,true,237024,0,10,1
synth-n_200-m_2275-k_15-p_0.1.txt,200,2275,15,15,607,true,276,0,21,8
synth-n_200-m_2356-k_25-p_0.1.txt,200,2356,25,0,180000,false,1247647,0,7,0
synth-n_200-m_2488-k_30-p_0.1.txt,200,2488,30,0,180000,false,1431656,0,7,0
synth-n_200-m_4097-k_2-p_0.2.txt,200,4097,2,2,16,true,0,2,200,0
synth-n_200-m_4160-k_10-p_0.2.txt,200,4160,10,10,804,true,1,0,3,10
synth-n_200-m_4165-k_4-p_0.2.txt,200,4165,4,4,239,true,1,2,27,2
synth-n_200-m_4241-k_6-p_0.2.txt,200,4241,6,6,591,true,1,0,10,6
synth-n_200-m_4270-k_8-p_0.2.txt,200,4270,8,8,695,true,1,0,5,8
synth-n_200-m_4411-k_15-p_0.2.txt,200,4411,15,15,1012,true,1,0,4,15
synth-n_200-m_4591-k_20-p_0.2.txt,200,4591,20,20,1211,true,43,0,3,16
synth-n_200-m_4629-k_25-p_0.2.txt,200,4629,25,25,8523,true,34272,0,1,9
synth-n_200-m_4765-k_30-p_0.2.txt,200,4765,30,30,30885,true,168446,0,0,7
synth-n_225-m_1274-k_4-p_0.05.txt,225,1274,4,4,9,true,0,4,225,0
synth-n_225-m_1286-k_2-p_0.05.txt,225,1286,2,2,7,true,0,2,225,0
synth-n_225-m_1352-k_6-p_0.05.txt,225,1352,6,6,9,true,0,6,225,0
synth-n_225-m_1385-k_8-p_0.05.txt,225,1385,8,8,10,true,0,8,225,0
synth-n_225-m_1390-k_10-p_0.05.txt,225,1390,10,10,151,true,28,1,93,6
synth-n_225-m_1391-k_15-p_0.05.txt,225,1391,15,15,1128,true,3991,0,73,4
synth-n_225-m_1470-k_20-p_0.05.txt,225,1470,19,19,171738,true,651193,0,46,0
synth-n_225-m_1484-k_25-p_0.05.txt,225,1484,25,2,180000,false,1104442,2,62,0
synth-n_225-m_1517-k_30-p_0.05.txt,225,1517,30,0,180000,false,1365497,0,36,0
synth-n_225-m_2523-k_2-p_0.1.txt,225,2523,2,2,16,true,0,2,225,0
synth-n_225-m_2681-k_10-p_0.1.txt,225,2681,10,10,609,true,1,0,30,10
synth-n_225-m_2685-k_6-p_0.1.txt,225,2685,6,6,338,true,1,1,51,5
synth-n_225-m_2691-k_8-p_0.1.txt,225,2691,8,8,552,true,1,0,33,8
synth-n_225-m_2732-k_4-p_0.1.txt,225,2732,4,4,14,true,0,4,225,0
synth-n_225-m_2816-k_15-p_0.1.txt,225,2816,15,15,858,true,211,1,25,8
synth-n_225-m_2884-k_20-p_0.1.txt,225,2884,20,20,45580,true,176133,0,13,3
synth-n_225-m_2884-k_25-p_0.1.txt,225,2884,25,0,180000,false,1011602,0,7,0
synth-n_225-m_2964-k_30-p_0.1.txt,225,2964,30,0,180000,false,1121881,0,6,0
synth-n_225-m_4993-k_2-p_0.2.txt,225,4993,2,2,23,true,0,2,225,0
synth-n_225-m_5212-k_6-p_0.2.txt,225,5212,6,6,845,true,1,0,8,6
synth-n_225-m_5223-k_4-p_0.2.txt,225,5223,4,4,580,true,1,0,16,4
synth-n_225-m_5291-k_8-p_0.2.txt,225,5291,8,8,953,true,1,0,11,8
synth-n_225-m_5365-k_10-p_0.2.txt,225,5365,10,10,1141,true,1,0,5,10
synth-n_225-m_5504-k_15-p_0.2.txt,225,5504,15,15,1453,true,1,0,6,15
synth-n_225-m_5734-k_20-p_0.2.txt,225,5734,20,20,1728,true,3,0,2,19
synth-n_225-m_5854-k_25-p_0.2.txt,225,5854,25,25,2793,true,1895,0,0,15
synth-n_225-m_5936-k_30-p_0.2.txt,225,5936,30,30,20209,true,72050,0,0,12
synth-n_250-m_1512-k_2-p_0.05.txt,250,1512,2,2,8,true,0,2,250,0
synth-n_250-m_1569-k_4-p_0.05.txt,250,1569,4,4,9,true,0,4,250,0
synth-n_250-m_1575-k_6-p_0.05.txt,250,1575,6,6,10,true,0,6,250,0
synth-n_250-m_1667-k_8-p_0.05.txt,250,1667,8,8,11,true,0,8,250,0
synth-n_250-m_1694-k_10-p_0.05.txt,250,1694,10,10,284,true,31,0,86,6
synth-n_250-m_1710-k_15-p_0.05.txt,250,1710,15,15,7436,true,28674,0,74,2
synth-n_250-m_1757-k_20-p_0.05.txt,250,1757,20,20,100248,true,500603,1,68,0
synth-n_250-m_1814-k_25-p_0.05.txt,250,1814,25,0,180000,false,777949,0,41,0
synth-n_250-m_1916-k_30-p_0.05.txt,250,1916,30,0,180000,false,1019508,0,39,0
synth-n_250-m_3124-k_4-p_0.1.txt,250,3124,4,4,27,true,0,4,250,0
synth-n_250-m_3161-k_2-p_0.1.txt,250,3161,2,2,15,true,0,2,250,0
synth-n_250-m_3199-k_8-p_0.1.txt,250,3199,8,8,407,true,1,3,64,5
synth-n_250-m_3249-k_6-p_0.1.txt,250,3249,6,6,19,true,0,6,250,0
synth-n_250-m_3387-k_10-p_0.1.txt,250,3387,10,10,1049,true,1,0,21,10
synth-n_250-m_3436-k_15-p_0.1.txt,250,3436,15,15,1104,true,24,1,23,11
synth-n_250-m_3475-k_20-p_0.1.txt,250,3475,20,20,4919,true,11472,0,16,6
synth-n_250-m_3612-k_25-p_0.1.txt,250,3612,25,0,180000,false,685491,0,5,0
synth-n_250-m_3681-k_30-p_0.1.txt,250,3681,30,0,180000,false,976189,0,8,0
synth-n_250-m_6262-k_2-p_0.2.txt,250,6262,2,2,27,true,0,2,250,0
synth-n_250-m_6353-k_4-p_0.2.txt,250,6353,4,4,886,true,1,0,12,4
synth-n_250-m_6493-k_6-p_0.2.txt,250,6493,6,6,26,true,0,6,250,0
synth-n_250-m_6538-k_8-p_0.2.txt,250,6538,8,8,1727,true,1,0,8,8
synth-n_250-m_6557-k_10-p_0.2.txt,250,6557,10,10,2149,true,1,0,3,10
synth-n_250-m_6833-k_15-p_0.2.txt,250,6833,15,15,2305,true,1,0,2,15
synth-n_250-m_7048-k_20-p_0.2.txt,250,7048,20,20,2560,true,1,0,1,20
synth-n_250-m_7157-k_25-p_0.2.txt,250,7157,25,25,3170,true,299,0,0,19
synth-n_250-m_7252-k_30-p_0.2.txt,250,7252,30,30,8854,true,7694,0,1,18
synth-n_275-m_1895-k_2-p_0.05.txt,275,1895,2,2,12,true,0,2,275,0
synth-n_275-m_1958-k_4-p_0.05.txt,275,1958,4,4,15,true,0,4,275,0
