name,k_optimal,k_solved,millis,verified,recursive_steps
synth-n_180-m_3481-k_10-p_0.2.txt,10,10,243,true,4643
synth-n_180-m_3631-k_15-p_0.2.txt,15,15,2805,true,75817
synth-n_180-m_3690-k_20-p_0.2.txt,20,20,89438,true,2467891
synth-n_180-m_3812-k_25-p_0.2.txt,25,0,180000,false,5252856
synth-n_180-m_4031-k_30-p_0.2.txt,30,0,180000,false,6162770
synth-n_180-m_804-k_2-p_0.05.txt,2,2,3,true,0
synth-n_180-m_827-k_6-p_0.05.txt,6,6,4,true,0
synth-n_180-m_855-k_15-p_0.05.txt,15,15,118,true,9666
synth-n_180-m_867-k_8-p_0.05.txt,8,8,5,true,0
synth-n_180-m_881-k_4-p_0.05.txt,4,4,4,true,0
synth-n_180-m_895-k_20-p_0.05.txt,19,19,8205,true,320579
synth-n_180-m_902-k_10-p_0.05.txt,10,10,15,true,684
synth-n_20-m_18-k_4-p_0.05.txt,1,1,0,true,0
synth-n_20-m_20-k_4-p_0.1.txt,0,0,0,true,0
synth-n_20-m_25-k_2-p_0.1.txt,1,1,0,true,0
synth-n_20-m_25-k_8-p_0.1.txt,2,2,0,true,0
synth-n_20-m_38-k_6-p_0.1.txt,2,2,0,true,0
synth-n_20-m_48-k_2-p_0.2.txt,2,2,0,true,0
synth-n_20-m_54-k_8-p_0.2.txt,3,3,0,true,0
synth-n_20-m_58-k_4-p_0.2.txt,4,4,0,true,35
synth-n_20-m_59-k_6-p_0.2.txt,3,3,0,true,0
synth-n_20-m_9-k_8-p_0.05.txt,0,0,0,true,0
synth-n_200-m_1059-k_8-p_0.05.txt,8,8,6,true,0
synth-n_200-m_1063-k_2-p_0.05.txt,2,2,5,true,0
synth-n_200-m_1075-k_10-p_0.05.txt,10,10,35,true,1378
synth-n_200-m_1093-k_4-p_0.05.txt,4,4,5,true,0
synth-n_200-m_1096-k_6-p_0.05.txt,6,6,5,true,0
synth-n_200-m_1115-k_15-p_0.05.txt,15,15,8500,true,332487
synth-n_200-m_1151-k_25-p_0.05.txt,25,0,180000,false,6060996
synth-n_200-m_1172-k_20-p_0.05.txt,20,20,147797,true,4351129
synth-n_200-m_1319-k_30-p_0.05.txt,30,0,180000,false,8316232
synth-n_200-m_2075-k_10-p_0.1.txt,10,10,56,true,1365
synth-n_200-m_2076-k_6-p_0.1.txt,6,6,9,true,0
synth-n_200-m_2088-k_4-p_0.1.txt,4,4,8,true,0
synth-n_200-m_2096-k_2-p_0.1.txt,2,2,8,true,0
synth-n_200-m_2119-k_8-p_0.1.txt,8,8,14,true,226
synth-n_200-m_2270-k_20-p_0.1.txt,20,0,180000,false,4663447
synth-n_200-m_2275-k_15-p_0.1.txt,15,15,6500,true,146124
synth-n_200-m_2356-k_25-p_0.1.txt,25,0,180000,false,5173563
synth-n_200-m_2488-k_30-p_0.1.txt,30,0,180000,false,5949745
synth-n_200-m_4097-k_2-p_0.2.txt,2,2,12,true,0
synth-n_200-m_4160-k_10-p_0.2.txt,10,10,185,true,3210
synth-n_200-m_4165-k_4-p_0.2.txt,4,4,18,true,9
synth-n_200-m_4241-k_6-p_0.2.txt,6,6,35,true,229
synth-n_200-m_4270-k_8-p_0.2.txt,8,8,74,true,1032
synth-n_200-m_4411-k_15-p_0.2.txt,15,15,6378,true,131483
synth-n_200-m_4591-k_20-p_0.2.txt,20,20,95944,true,2016776
synth-n_200-m_4629-k_25-p_0.2.txt,25,0,180000,false,4923927
synth-n_200-m_4765-k_30-p_0.2.txt,30,0,180000,false,5830675
synth-n_225-m_1274-k_4-p_0.05.txt,4,4,6,true,0
synth-n_225-m_1286-k_2-p_0.05.txt,2,2,6,true,0
synth-n_225-m_1352-k_6-p_0.05.txt,6,6,8,true,0
synth-n_225-m_1385-k_8-p_0.05.txt,8,8,7,true,0
synth-n_225-m_1390-k_10-p_0.05.txt,10,10,55,true,1793
synth-n_225-m_1391-k_15-p_0.05.txt,15,15,9496,true,252862
synth-n_225-m_1470-k_20-p_0.05.txt,19,0,180000,false,4779474
