name,k_optimal,k_solved,millis,verified
synth-n_180-m_1057-k_25-p_0.05.txt,22,0,180000,false
synth-n_180-m_1627-k_4-p_0.1.txt,4,4,7,true
synth-n_180-m_1658-k_2-p_0.1.txt,2,2,6,true
synth-n_180-m_1683-k_6-p_0.1.txt,6,6,121,true
synth-n_180-m_1717-k_8-p_0.1.txt,8,8,7,true
synth-n_180-m_1738-k_10-p_0.1.txt,10,10,239,true
synth-n_180-m_1958-k_15-p_0.1.txt,15,15,386,true
synth-n_180-m_1962-k_25-p_0.1.txt,25,0,180000,false
synth-n_180-m_1968-k_20-p_0.1.txt,20,0,180000,false
synth-n_180-m_2037-k_30-p_0.1.txt,30,0,180000,false
synth-n_180-m_3254-k_2-p_0.2.txt,2,2,10,true
synth-n_180-m_3302-k_4-p_0.2.txt,4,4,12,true
synth-n_180-m_3396-k_8-p_0.2.txt,8,8,383,true
synth-n_180-m_3408-k_6-p_0.2.txt,6,6,358,true
synth-n_180-m_3481-k_10-p_0.2.txt,10,10,496,true
synth-n_180-m_3631-k_15-p_0.2.txt,15,15,667,true
synth-n_180-m_3690-k_20-p_0.2.txt,20,20,898,true
synth-n_180-m_3812-k_25-p_0.2.txt,25,25,113498,true
synth-n_180-m_4031-k_30-p_0.2.txt,30,0,180000,false
synth-n_180-m_804-k_2-p_0.05.txt,2,2,3,true
synth-n_180-m_827-k_6-p_0.05.txt,6,6,4,true
synth-n_180-m_855-k_15-p_0.05.txt,15,15,91,true
synth-n_180-m_867-k_8-p_0.05.txt,8,8,4,true
synth-n_180-m_881-k_4-p_0.05.txt,4,4,4,true
synth-n_180-m_895-k_20-p_0.05.txt,19,19,23896,true
synth-n_180-m_902-k_10-p_0.05.txt,10,10,24,true
synth-n_20-m_18-k_4-p_0.05.txt,1,1,0,true
synth-n_20-m_20-k_4-p_0.1.txt,0,0,0,true
synth-n_20-m_25-k_2-p_0.1.txt,1,1,0,true
synth-n_20-m_25-k_8-p_0.1.txt,2,2,0,true
synth-n_20-m_38-k_6-p_0.1.txt,2,2,0,true
synth-n_20-m_48-k_2-p_0.2.txt,2,2,0,true
synth-n_20-m_54-k_8-p_0.2.txt,3,3,0,true
synth-n_20-m_58-k_4-p_0.2.txt,4,4,0,true
synth-n_20-m_59-k_6-p_0.2.txt,3,3,0,true
synth-n_20-m_9-k_8-p_0.05.txt,0,0,0,true
